cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f236,f7805,50,f7896271003702,7.5,4.6,19030000,TAPIOCA (MASSA PRONTA) - CX 20X500G,8/3/2023,20.0
f10,f2370,50,f7896271000275,8.99,5.69,19054000,FARINHA DE ROSCA - FD 12X500G,8/3/2023,12.0
f25,f827,50,f7896271000428,5.99,3.9375,10059090,MILHO PIPOCA NACIONAL - FD 12X500G,8/3/2023,12.0
f42,f7800,50,f7896271000053,8.5,4.98,8132010,AMEIXA SECA COM CAROCO - CX 12X100G,8/3/2023,12.0
f43,f72555,50,f7896271003603,0.0,0.0,8132020,AMEIXA SECA SEM CAROCO - CX 12X100G,8/3/2023,12.0
f60,f567,50,f7896271000534,5.99,3.99,8062000,UVA PASSAS ESCURA SEM SEMENTE - CX 12X100G,8/3/2023,12.0
f76,f2222,50,f7896271000725,5.25,3.2758333333333334,18063220,CHOCOLATE GRANULADO ESCURO - FD 12X200G,8/3/2023,12.0
f107,f1736,50,f7896271000619,3.5,1.47,28363000,BICARBONATO DE SODIO - FD 12X40G,8/3/2023,12.0
f115,f1935,50,f7896271000657,4.8,2.4,9062000,CANELA EM PO - FD 12X35G,8/3/2023,12.0
f121,f1936,50,f7896271001241,2.2,1.47,7129090,CHEIRO VERDE - FD 12X05G,8/3/2023,12.0
f127,f1963,50,f7896271001296,2.99,1.7833333333333332,21039021,COLORIFICO (COLORAU TEMPERADO) - FD 12X20G,8/3/2023,12.0
f129,f6075,50,f7896271001265,4.1,2.0475,21039021,COLORIFICO (COLORAU) - FD 12X80G,8/3/2023,12.0
f819,f4971,50,f7896271003290,3.5,2.31,9042100,PAPRICA DEFUMADA - FD 12X20G,8/3/2023,12.0
f173,f72694,50,f7896271003498,5.99,3.718333333333333,9041200,PIMENTA PRETA PO - FD 12X80G,8/3/2023,12.0
f214,f6873,50,f7896271003689,6.5,4.34,21039021,MOLHO CHIMICHURRI - CX 12X200ML,8/3/2023,12.0
f747,f1903,50,f7896271004051,14.99,9.99,20089100,PALMITO PUPUNHA RODELA - CX 15X270G,8/3/2023,15.0
f759,f4452,50,f7896271004129,3.99,2.5725,21039021,TEMPERO COMPLETO C/PIMENTA RD - CX 12X300G,8/3/2023,12.0
f760,f3820230,50,f7896271004136,0.0,0.0,21039021,TEMPERO COMPLETO S/PIMENTA RD - CX 12X300G,8/3/2023,12.0
f5,f829,50,f7896271000152,8.99,5.79,11042300,CANJICA BRANCA - FD 12X500G,8/25/2023,12.0
f33,f1977,50,f7896271000497,6.99,4.41,11031100,TRIGO PARA QUIBE - FD 12X500G,8/25/2023,12.0
f27,f1580,50,f7896271000435,9.99,5.69,11081900,POLVILHO AZEDO - FD 12X500G,8/25/2023,12.0
f73,f5219,50,f7896271000893,4.2,2.7,17049020,CHOCOLATE GRANULADO COLORIDO - FD 12X80G,8/25/2023,12.0
f135,f1747,50,f7896271000770,3.4,1.68,9093200,COMINHO MOIDO - FD 12X35G,8/25/2023,12.0
f161,f7802,50,f7896271000954,2.2,1.47,12119010,OREGANO - FD 12X05G,8/25/2023,12.0
f160,f1734,50,f7896271001418,7.4,3.695833333333333,12119010,OREGANO - FD 12X30G,8/25/2023,12.0
f113,f3083,50,f7896271001203,6.4,3.7375,12119090,CAMOMILA EM FLOR - FD 12X30G,8/25/2023,12.0
f116,f1933,50,f7896271000664,4.5,2.591666666666667,9062000,CANELA EM PO - TB 12X30G,8/25/2023,12.0
f811,f2909221,50,f7896271004464,8.2,5.390000000000001,12024200,AMENDOIM DESC. BRANCO - FD 12X400G,9/15/2023,12.0
f151,f4977,50,f7896271003214,3.9,2.2666666666666666,21039021,LEMON E PEPPER - FD 12X20G,9/15/2023,12.0
f122,f4972,50,f7896271003108,4.99,2.205,21039021,CHIMICHURRI - FD 12X20G,9/15/2023,12.0
f322,f159202347,50,fSEM GTIN,70.99,47.04,21039021,CHIMICHURRI - PCT 1KG,9/15/2023,
f172,f820,50,f7896271001043,3.99,2.4266666666666667,9041200,PIMENTA PRETA PO - FD 12X35G,9/15/2023,12.0
f162,f1959,50,f7896271001425,2.99,1.995,9042100,PAPRICA DOCE - FD 12X20G,9/15/2023,12.0
f137,f418548125,50,f7896271000817,3.99,2.3516666666666666,9072000,CRAVO DA INDIA - FD 12X10G,9/15/2023,12.0
f158,f1962,50,f7896271000930,4.4,2.183333333333333,9081100,NOZ MOSCADA BOLA - FD 12X05G,9/15/2023,12.0
f310,f96841,50,f7896271002163,18.5,12.18,28363000,BICARBONATO DE SODIO - PCT 1KG,9/15/2023,
f102,f3577,50,f7896271000022,7.3,3.99,7032090,ALHO SELECIONADO - FD 12X100G,9/15/2023,12.0
f143,f4398,50,f7896271003184,2.2,1.47,9096290,ERVA CIDREIRA - FD 12X05G,9/15/2023,12.0
f235,f1965,50,f7896271001807,4.45,2.49,21039021,SAL TEMPERADO GROSSO - FD 12X400G,9/24/2023,12.0
f118,f1939,50,f7896271001210,4.45,2.205,7129090,CEBOLA ALHO SALSA - FD 12X20G,9/24/2023,12.0
f101,f3573,50,f7896271001180,3.99,2.3916666666666666,7032090,ALHO GRANULADO - FD 12X30G,9/24/2023,12.0
f322,f159202347,50,fSEM GTIN,77.99,47.04,21039021,CHIMICHURRI - PCT 1KG,9/24/2023,
f26,f14108,50,f7896271000411,6.99,4.62,10059090,MILHO PIPOCA SUPREMA - FD 12X500G,9/24/2023,12.0
f218,f6963,50,f7896271003696,6.5,4.34,21039021,MOLHO PARA CHURRASCO - CX 12X200ML,9/24/2023,12.0
f75,f5552,50,f7896271000503,4.2,2.4,18063220,CHOCOLATE GRANULADO ESCURO - FD 12X80G,10/4/2023,12.0
f128,f1950,50,f7896271000732,4.1,1.47,21039021,COLORIFICO (COLORAU) - FD - 12X40G,10/4/2023,12.0
f163,f1952,50,f7896271001432,3.99,1.995,9042200,PAPRICA PICANTE - FD 12X20G,10/4/2023,12.0
f153,f1741,50,f7896271000916,2.99,1.47,9109900,LOURO EM FOLHAS - FD 12X05G,10/4/2023,12.0
f144,f1743,50,f7896271000855,3.5,2.31,9096210,ERVA DOCE - FD 12X20G,10/4/2023,12.0
f147,f1954,50,f7896271001357,2.3,1.47,09096190,FUNCHO - FD 12X10G,10/4/2023,12.0
