cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f76,f2222,50,f7896271000725,6.99,4.62,18063210,CHOCOLATE GRANULADO ESCURO 200G 12X200G QTD. 1.00 FD,01/16/2026,
f1100,f2792426,50,f7896271004792,5.5,3.0,10059090,MILHO PIPOCA SUPREMA 400G 15X400G QTD. 2.00 FD,01/16/2026,
f158,f,50,f7896271000930,4.4,2.405,9081100,NOZ MOSCADA BOLA 05G 12X05G QTD. 1.00 UN,01/22/2025,
f137,f418548125,50,f7896271000817,4.1,2.8,9072000,CRAVO DA INDIA 10G 12X10G QTD. 1.00 UN,01/16/2026,
f310,f96841,50,f7896271002163,19.49,12.47,28363000,BICARBONATO DE SODIO 1KG 1KG QTD. 5.00 UN,01/16/2026,
f25,f827,50,f7896271000428,4.5,2.99,10059090,MILHO PIPOCA NACIONAL 500G 12X500G QTD. 2.00 FD,07/02/2025,
f122,f4972,50,f7896271003108,3.99,2.8,21039021,CHIMICHURRI 20G 12X20G QTD. 2.00 FD,01/16/2026,
f73,f5219,50,f7896271000893,4.5,2.79,17049020,CHOCOLATE GRANULADO COLORIDO 80G 12X80G QTD. 1.00 FD,09/11/2025,
f322,f2212522,50,fSEM GTIN,72.5,48.16,21039021,CHIMICHURRI 1KG 1KG QTD. 2.00 UN,11/13/2025,
f107,f1736,50,f7896271000619,2.99,1.774167,28363000,BICARBONATO DE SODIO 40G 12X40G QTD. 2.00 FD,02/12/2026,
f123,f1732,50,f7896271001272,2.5,1.6125,9092100,COENTRO EM GRAO 10G 12X10G QTD. 1.00 KG,01/22/2025,
f7,f3709,50,f7896271000206,7.2,4.8,7131090,ERVILHA SECA PARTIDA 500G 12X500G QTD. 1.00 FD,12/17/2025,
f118,f1939,50,f7896271001210,3.99,2.6,7129090,CEBOLA ALHO SALSA 20G 12X20G QTD. 1.00 FD,01/16/2026,
f140,f1961,50,f7896271001319,2.99,1.774167,9102000,CURCUMA (ACAFRAO) 20G 12X20G QTD. 1.00 FD,11/07/2025,
f161,f7802,50,f7896271000954,2.99,1.6125,12119010,OREGANO 05G 12X05G QTD. 1.00 UN,06/27/2025,
f135,f1747,50,f7896271000770,3.4,1.87,9093200,COMINHO MOIDO 35G 12X35G QTD. 1.00 FD,01/16/2026,
f28,f3090,50,f7896271000442,8.99,5.074167,11081400,POLVILHO DOCE 500G 12X500G QTD. 1.00 FD,11/07/2025,
f151,f4977,50,f7896271003214,4.2,2.7,21039021,LEMON E PEPPER 20G 12X20G QTD. 2.00 FD,01/16/2026,
f33,f1977,50,f7896271000497,6.99,4.085,19043000,TRIGO PARA QUIBE 500G 12X500G QTD. 1.00 FD,01/16/2026,
f115,f1935,50,f7896271000657,4.05,2.4,9062000,CANELA EM PO 35G 12X35G QTD. 1.00 FD,01/16/2026,
f29,f828,50,f7896271000169,4.5,2.99,11042300,QUIRERINHA AMARELA 500G 12X500G QTD. 1.00 FD,04/15/2025,
f153,f1741,50,f7896271000916,2.99,1.774167,9109900,LOURO EM FOLHAS 05G 12X05G QTD. 1.00 UN,02/12/2026,
f27,f1580,50,f7896271000435,9.99,5.69,11081900,POLVILHO AZEDO 500G 12X500G QTD. 1.00 FD,10/28/2025,
f819,f4971,50,f7896271003290,3.99,2.4,9042100,PAPRICA DEFUMADA 20G 12X20G QTD. 1.00 FD,02/12/2026,
f156,f1947,50,f7896271001388,2.99,1.774167,7099990,MANJERONA 05G 12X05G QTD. 1.00 UN,12/06/2025,
f124,f1944,50,f7896271001289,2.5,1.6125,9092200,COENTRO EM PO 20G 12X20G QTD. 1.00 FD,04/15/2025,
f23,f1725,50,f7896271000367,14.99,9.9975,7134090,LENTILHA 500G 12X500G QTD. 1.00 FD,05/16/2025,
f22,f1554,50,f7896271000343,12.99,8.481667,7132090,GRAO DE BICO 500G 12X500G QTD. 1.00 FD,05/16/2025,
f1095,f1132533,50,f7896271005171,5.99,3.96,21039029,EDU SUPREMO 30G 12X30G QTD. 1.00 FD,07/10/2025,
f1086,f1132564,50,f7896271005188,5.2,3.42,21039029,ANA MARIA SUPREMA 30G 12X30G QTD. 1.00 FD,04/15/2025,
