cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f500290,f7165,40,f7896002303460,0.0,10.58,19059010,PAO ARTESANO INTEGRAL 500,1/25/2024,
f503140,f1101241,40,f7896002310345,0.0,10.58,19059010,PAO ARTESANO PAO NA CHAPA 500G,1/25/2024,
f7515,f1288,40,f7896002302197,0.0,9.35,19059010,PAO ARTESANO 500G,1/25/2024,
f9101,f1423,40,f7896002360326,11.2,7.35,19059010,PAO DE FORMA PULLMAN 480G,02/16/2026,
f500290,f7165,40,f7896002303460,15.99,10.58,19059010,PAO ARTESANO INTEGRAL 500,2/12/2024,
f503140,f1101241,40,f7896002310345,15.99,10.58,19059010,PAO ARTESANO PAO NA CHAPA 500G,2/12/2024,
f7515,f1288,40,f7896002302197,14.2,9.35,19059010,PAO ARTESANO 500G,2/12/2024,
f9101,f1423,40,f7896002360326,11.2,7.35,19059010,PAO DE FORMA PULLMAN 480G,02/16/2026,
f9101,f1423,40,7896002360326,11.2,7.35,19059010,PAO DE FORMA PULLMAN 480G,02/16/2026,
f4855,f6127,50,7896002363792,12.5,8.27,19059090,RAP10 297G ORIGINAL,7/2/2024,
f27636,f4610,50,7896002300148,11.99,8.22,19059010,PAO INTEGRAL PULLMAN 480G,12/29/2025,
f8304,f4590,50,f7896002360234,10.2,6.79,19059090,BISNAGUITO 300G PULLMAN,02/03/2026,
f400847,f49202370,50,f7896004008691,1.2,0.69,21069010,1 REFR.TRINK LIMAO 15G 1L DISP C/15UN,02/03/2026,
f400852,f49202349,50,f7896004008738,1.2,0.69,21069010,1 REFR.TRINK TANGERINA 15G 1L DISP C/15UN,02/03/2026,
f400863,f30620236,50,f7896004008837,1.2,0.69,21069010,1 REFR.TRINK UVA 15G 1L DISP C/15UN,02/16/2026,
f400844,f1622699,50,f7896004008448,1.2,0.69,21069010,REFR.TRINK LARANJA 15G 1L,02/16/2026,
f400845,f1622651,50,f7896004008455,1.2,0.69,21069010,REFR.TRINK MARACUJA 15G 1L DISP,02/16/2026,
