cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
fVE1151,f272590,50,f7908323504737,3.2,2.02,34060000,VELA CHAMA ESTRELAR C/ 2 UNIDADES,07/02/2025,
fVE1152,f272539,50,f7908323504744,3.99,2.42,34060000,VELA CHAMA ESTRELAR C/ 4 UNIDADES,07/02/2025,
fVE1170,f272553,50,f7908536711038,6.99,4.5,34060000,VELA KIT CORACAO VERMELHO,07/02/2025,
fVE1168,f272555,50,f7908536711021,6.99,4.5,34060000,VELA KIT CORACAO ROSA,07/02/2025,
fVE1169,f272558,50,f7908536711014,6.99,4.5,34060000,VELA KIT CORACAO AZUL,07/02/2025,
fVE1163,f272594,50,f7908323508018,4.99,3.05,34060000,VELA PALITO ESPIRAL VERDE,07/02/2025,
fVE1162,f272546,50,f7908323503259,4.99,3.05,34060000,VELA PALITO ESPIRAL BRANCA,07/02/2025,
fEMB18,f272519,50,f7908323513203,4.2,2.77,44219900,PALITO DE MADEIRA PARA PICOLE C/ 50un,07/02/2025,
fEMB6,f272579,50,f7908323513685,5.5,3.61,39232110,SAQUINHO DE PLASTICO PARA HAMBURGUER 20X20CM C/ 50un,07/02/2025,
fBAL45,f272551,50,f7893002653472,3.99,2.4,95030099,"BALAO LISO 7"" C/ 10un AZUL",07/02/2025,
fBAL53,f272592,50,f7893002652451,3.99,2.4,95030099,"BALAO LISO 7"" C/ 10un SORTIDO",07/02/2025,
fBAL50,f272599,50,f7893002653519,3.99,2.4,95030099,"BALAO LISO 7"" C/ 10un PRETO",07/02/2025,
fBAL51,f272564,50,f7893002653458,3.99,2.4,95030099,"BALAO LISO 7"" C/ 10un ROSA CLARO",07/02/2025,
fBAL56,f272548,50,f7893002653441,3.99,2.4,95030099,"BALAO LISO 7"" C/ 10un VERMELHO",07/02/2025,
fBAL46,f272541,50,f7893002653410,3.99,2.4,95030099,"BALAO LISO 7"" C/ 10un BRANCO",07/02/2025,
fFR16,f272562,50,f7893002651065,2.99,1.74,48194000,FORMA DE PAPEL TAMANHO 4 VERDE ESCURO C/ 100UN,07/02/2025,
fFR19,f272589,50,f7893002651027,2.99,1.74,48194000,FORMA DE PAPEL TAMANHO 4 AZUL ESCURO C/ 100UN,07/02/2025,
fFR22,f272524,50,f7893002651089,2.99,1.74,48194000,FORMA DE PAPEL TAMANHO 4 VERMELHO C/ 100UN,07/02/2025,
fFR24,f272513,50,f7893002651010,2.99,1.74,48194000,FORMA DE PAPEL TAMANHO 4 ROSA CLARO C/ 100UN,07/02/2025,
fFR36,f272523,50,f7893002650808,2.2,1.41,48194000,FORMA DE PAPEL TAMANHO 5 VERMELHO C/ 100UN,07/02/2025,
fFR35,f27253,50,f7893002650723,2.2,1.41,48194000,FORMA DE PAPEL TAMANHO 5 LILAS C/ 100UN,07/02/2025,
fFR38,f272516,50,f7893002650730,2.2,1.41,48194000,FORMA DE PAPEL TAMANHO 5 ROSA CLARO C/ 100UN,07/02/2025,
