cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f51208,f5395,50,f7896007541850,13.99,6.4175,96190000,ABSORVENTE INTIMUS INTERNO MINI 4X8 REF= 2254*,9/14/2023,
f51073,f1209211,50,f7898522420863,8.99,5.69,56012110,ISACARE ALGODAO DISCO 50 UNIDADES$,9/14/2023,
f51109,f5396,50,f7896007541867,13.99,5.849375,96190000,ABSORVENTE INTIMUS INTERNO MEDIO 4X8 R2297*,9/14/2023,
f51117,f33344,50,f7896007541874,13.99,5.849375,96190000,ABSORVENTE INTIMUS INTERNO SUPER 4X8 REF=2298*,9/14/2023,
f869,f149202378,50,f070330129665,1.2,0.7278,96081000,CANETA BIC CRISTAL TRADICIONAL. PRETA 50X1REF 208,9/14/2023,
f26877,f4195,50,f7891988000068,4.2,2.7633333333,32041400,CORANTE GUARANY TINGECOR MARINHO (16) 6X1*,9/14/2023,
f22637,f2410,50,f78924338,14.99,9.142777777777775,33072010,DESODORANTE ROLL-ON REXONA POWDER(R7414) 50ML R 0387,9/14/2023,
f48048,f3205,50,f7891176117646,14.2,9.068333333333332,33059000,NEUTROX CONDICIONADOR CLASSICO 300ML 6X1 R2909,9/14/2023,
f69500,f3410,50,f4005808309436,19.5,9.162499999933331,33072090,NIVEA LOCAO BODY 6X200ML MILK EXTRA SECA  REF= 0210,9/14/2023,
f892,f149202317,50,f7891200017324,6.99,4.45875,35061010,COLA SUPER BONDER ORIGINAL 3GRS 24X1 + 2 UNIDADES GRATIS*,9/14/2023,
f454,f1209237,50,f7898032373475,8.99,5.827999999999999,39241000,STARLUX FEST. COLHER REFEICAO CRISTAL 10X50$,9/14/2023,
f455,f1209235,50,f7898032373482,8.99,5.827999999999999,39241000,STARLUX FEST. FACA REFEICAO CRISTAL 10X50$,9/14/2023,
f453,f1209236,50,f7898032373468,8.99,5.827999999999999,39241000,STARLUX FEST. GARFO REFEICAO CRISTAL 10X50$,9/14/2023,
