cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f100507,f1436,50,f7891132080038,9.99,6.6383333333,21039021,AJI-SAL CHURRASCO 500G* (24),7/16/2023,
f61034905,f16720239,50,f7509546687537,8.99,5.6766666667,33061000,CD COLG LUMINOUS CARVAO ATIVADO 60G*,7/16/2023,
f13470,f2582,50,f7891024134702,5.99,3.6966666667,33061000,CD COLG MPA 90G*,7/16/2023,
f61001068,f0103232,50,f7509546653396,15.5,10.1741666667,33061000,CD COLG SENS PRO ALIVIO IMEDIATO ORIGINAL 60G*,7/16/2023,
f61019422,f151,50,f7891528030142,5.2,2.724,33061000,CD SOR DENT BRANCOS 90G* (12) GRTS 3 CARVAO 60G* L15P12,7/16/2023,15.0
f1051081,f6148,50,f7891132009374,3.2,2.022608695652174,21041011,SOPA VONO AIPIM COM COSTELA 23X18G* (4),7/16/2023,23.0
f1050921,f3239,50,f7891132007509,3.2,2.022608695652174,21041011,SOPA VONO BATATA COM CARNE 23X18G* (4),7/16/2023,23.0
f1050891,f3748,50,f7891132007530,3.2,2.0226086957,21041011,SOPA VONO MANDIOQUINHA COM CEBOLA E SALSA 23X17G* (4),7/16/2023,
f1050891 - FD,f167202310,50,f7891132008155,69.99,46.5200000011,21041011,SOPA VONO MANDIOQUINHA COM CEBOLA E SALSA 23X17G* (4),7/16/2023,
f104694,f8820237,50,f7891132110230,2.5,1.64,21041011,"CALDO SAZON GALINHA 32,5G",8/8/2023,
f02438,f6806,50,f7891024024386,5.2,3.47,96032100,ESC DT COLG ESSENCIAL CLEAN MACIA,8/8/2023,
f183022,f1104,50,f7891024183021,16.2,10.7683333333,33062000,FIO DENT COLG MENTA 50M,8/8/2023,
fLR03P2B,f88202319,50,f4895229119345,7.99,5.05,85061020,PILHA PHILIPS ALCALINA AAA 1.5V COM 2 UNI,8/8/2023,
fLR03P4B,f88202320,50,f4895229119352,13.2,8.78,85061020,PILHA PHILIPS ALCALINA AAA 1.5V COM 4 UNI,8/8/2023,
f19530,f149,50,f7891024195307,8.99,5.6933333333,38089419,PINHO SOL LIMAO 500ML,8/8/2023,
f101502,f280,50,f7891132019045,5.99,3.86,21039021,SABOR AMI COM PIMENTA 300G,8/8/2023,
f102003,f2035,50,f7891132019403,5.99,3.89,21039021,SAZON AMARELO LEGUMES 60G,8/8/2023,
f102014,f2034,50,f7891132000449,5.99,3.89,21039021,SAZON BRANCO ARROZ 60G,8/8/2023,
f102004,f2036,50,f7891132019717,6.5,3.89,21039021,SAZON LARANJA MASSAS 60G,8/8/2023,
f102017,f2183,50,f7891132001101,5.99,3.89,21039021,SAZON ROXO SABOR DO NORDESTE 60G,8/8/2023,
f102070,f5603,50,f7891132008698,5.99,3.89,21039021,SAZON TOQUE DE ALHO CARNES 60G,8/8/2023,
f102001,f2900,50,f7891132019274,6.5,3.89,21039021,SAZON VERDE FRANGO 60G,8/8/2023,
f102002,f1435,50,f7891132019281,6.99,3.89,21039021,SAZON VERMELHO CARNES 60G,8/8/2023,
f1037141,f5101,50,f7891132082421,1.2,0.69,21069010,MID REFRESCO BAUNILHA COM LIMAO 15X20G,8/8/2023,15.0
f1037151,f4374,50,f7891132082469,1.2,0.69,21069010,MID REFRESCO CAJU 15X20G,8/8/2023,15.0
f1037161,f5114,50,f7891132082261,1.2,0.69,21069010,MID REFRESCO GOIABA 15X20G,8/8/2023,15.0
f1037191,f6145,50,f7891132082285,1.2,0.69,21069010,MID REFRESCO GROSELHA 15X20G,8/8/2023,15.0
f1037231,f7243,50,f7891132082568,1.2,0.69,21069010,MID REFRESCO GUARANA 15X20G,8/8/2023,15.0
f1037251,f4504,50,f7891132082322,1.2,0.69,21069010,MID REFRESCO LARANJA 15X20G,8/8/2023,15.0
f1037271,f4500,50,f7891132082223,1.2,0.69,21069010,MID REFRESCO LIMAO 15X20G,8/8/2023,15.0
f1037281,f5171,50,f7891132082483,1.2,0.69,21069010,MID REFRESCO MANGA 15X20G,8/8/2023,15.0
f1037291,f4502,50,f7891132082360,1.2,0.69,21069010,MID REFRESCO MARACUJA 15X20G,8/8/2023,15.0
f1037331,f4501,50,f7891132082346,1.2,0.69,21069010,MID REFRESCO UVA 15X20G,8/8/2023,15.0
f12760,f6531,50,f7891024127605,7.5,4.9566666667,34025000,AJAX F FLORES BOUQUET 500ML,9/13/2023,
f12830,f5190,50,f7891024128305,8.99,4.9566666667,34025000,AJAX F FLORES LAVANDA 500ML,9/13/2023,
f03856,f4234,50,f7891528038568,5.99,3.71,33061000,CD SOR FRESH MENTHOL IMPACT 90G,9/13/2023,
f3985,f2906211,50,f7891024039854,40.2,23.93,33061000,CD SOR TRIP LIMP COMPLETA 70G L12P9,9/13/2023,
f05212,f13920236,50,fSEM GTIN,6.99,4.6,12024200,DAKI AMENDOIM BRANCO 400G,9/13/2023,
f19530,f149,50,f7891024195307,9.5,5.6933333333,38089419,PINHO SOL LIMAO 500ML,9/13/2023,
f19410,f427,50,f7891024194102,9.5,5.6933333333,38089419,PINHO SOL ORIGINAL 500ML,9/13/2023,
f102005,f617,50,f7891132019724,6.5,3.79,21039021,SAZON MARROM FEIJAO 60G,9/13/2023,
f01465,f3656,50,f7891024181072,9.99,5.825,33051000,SH DARLING CERAMIDAS 350ML,9/13/2023,
f01462,f3659,50,f7891024180877,9.99,5.825,33051000,SH DARLING TILIA 350ML,9/13/2023,
