cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f125939,f5720230,50.0,f7898418145450,4.99,3.0473611111444443,33043000,REMOVEDOR DE ESMALTE PETALAS 12X100ML QTD. 1.00 DP,05/07/2026,
f50555,f5720231,50.0,f17896054719261,7.2,4.763333333333333,33043000,REMOVEDOR DE ESMALTE LUTEX ECO(CINCO) (PROPANONA)12X100ML QTD. 1.00 DP,03/18/2026,
f50741,f3193,50.0,f7898904614019,4.5,2.747,12130000,PALHA CIGARRO ESP.PRINCESA 40X10UN QTD. 1.00 CX,05/07/2026,
f136681,f9122513,50.0,f7908324405248,3.2,1.8280555555222224,34011190,SAB.FRANCIS BRASILIDADES AGUA COCO PACK 6X80G QTD. 1.00 DP,03/18/2026,
f133606,f1832585,50.0,f7897744504757,14.99,8.806,34029029,LIMPADOR CONC.COALA CHA BRANCO 3X120ML QTD. 1.00 DP,05/26/2026,
f121286,f10820236,50.0,f7897744502241,14.99,8.341,34029029,LIMPADOR CONC.COALA CITRONELA 3X120ML QTD. 1.00 DP,02/19/2026,
f1184,f2074,50.0,f0070330717534,5.99,3.460069444411111,82121020,AP.B.BIC COMFORT 3 ADVANCE (AZUL) 12X1UN QTD. 1.00 DP,05/19/2026,
f1184 - FD,f1211241,50.0,f0007033071755,64.5,41.52083333293333,82121020,AP.B.BIC COMFORT 3 ADVANCE (AZUL) 12X1UN QTD. 1.00 DP,05/19/2026,
f447,f2040,50.0,f7898418140950,20.5,12.862,4089900,OVOS CODORNA DIVINA MESA TRAD 6X300G QTD. 1.00 CX,03/18/2026,
f133148,f7898418145719,50.0,f7898418145719,11.99,6.704,18061000,CHOC.PO DIVINA MESA 50% CACAU 4X200G QTD. 1.00 DP,04/08/2026,
f117081,f12366,50.0,f7898418141360,9.99,6.385,76071110,"PAPEL ALUMINIO DIVINA MESA 45X7,5 5X1UN QTD. 2.00 DP",12/23/2025,
f3638,f2005212,50.0,f7898418142671,7.2,4.415,39234000,SACO FREEZER DIVINA MESA BOB.23X37-3KG 12X100UN QTD. 1.00 CX,12/23/2025,
f122161,f10820233,50.0,f7898418144910,3.2,1.98,20098990,LEITE DE COCO DIVINA MESA 6X200ML QTD. 2.00 DP,04/19/2026,
f118473,f1958,50.0,f7892300000933,2.2,1.452,11041900,FAR.DE MILHO FLOCAO SINHA 10X500GR QTD. 1.00 DP,05/26/2026,
f50407,f865,50.0,f7896363400020,7.5,4.968,11022000,FAR.DE MILHO AMARELA C.LARGO 10X1KG QTD. 1.00 FD,04/23/2026,
f50423,f1455,50.0,f7896363400044,4.99,3.247,11022000,FUBA CAMPO LARGO AMARELO FINO 10X1KG QTD. 1.00 FD,05/26/2026,
f123549,f2312225,50.0,f7899659900785,4.5,2.43,20058000,MILHO VERDE BONARE LT 24X170G QTD. 1.00 CX,12/23/2025,
f85804,f1791,50.0,f7896022200794,5.99,3.801,19021900,MASSA GALO FURAD.5 SEMOLA 10X500GR QTD. 1.00 DP,05/07/2026,
f30309,f5113,50.0,f7896075990727,9.2,5.64,38099190,AM.BABY SOFT T.CARINHO AZUL 6X2L QTD. 1.00 CX,04/07/2026,
f124412,f942415,50.0,f7898418145399,11.99,7.007847222222223,48181000,P.H.FD MAXXI 20M NEUTRO L+P- 6X12X20M QTD. 2.00 FD,05/19/2026,
f119803,f155823,50.0,f7898418144149,24.5,13.298888888922225,48181000,P.H.FD DOUBLE 30M NEUTRO LV+ PG- 6X12X30MT QTD. 1.00 FD,05/19/2026,
f3207,f462,50.0,f7898418141919,7.99,4.337790798644445,48181000,P.H.FS CLASSY 60M NEUTRO 16X4 16X4X60M QTD. 1.00 CX,04/28/2026,
f161,f467,50.0,f7898418140066,4.5,2.644144965311111,48181000,P.H.FS CLASSY 30M NEUTRO 16X4 16X4X30MT QTD. 2.00 CX,04/28/2026,
f6960,f3098,50.0,f7896098900390,10.99,7.228,38099190,AM.CONC.YPE BLUE 3X500ML QTD. 4.00 DP,05/07/2026,
f51942,f29,50.0,f7896017200075,3.99,2.419,28289011,AGUA SANIT.DA ILHA 12X1LT QTD. 1.00 CX,05/19/2026,
f66990,f12458895,50.0,f7896017200358,5.99,3.85,28289011,AGUA SANIT.DA ILHA 6X2LT QTD. 1.00 CX,04/07/2026,
f123851,f02062215,40.0,f7896348300901,10.49,6.124444444444444,21011110,CAFE SOLUVEL MELITTA EXTRA FORTE 6X40G QTD. 1.00 DP,04/01/2026,
f123850,f1904221,40.0,f7896348300895,10.49,6.124444444444444,21011110,CAFE SOLUVEL MELITTA TRADICIONAL 6X40G QTD. 1.00 DP,04/01/2026,
f116893,f5283,50.0,f7898930672618,11.99,6.946,39204390,FILME POLIESTER PARA CHURRASCO WYDA 5M. 1UN QTD. 20.00 UN,12/23/2025,
f121258,f311020237,50.0,f7896508200119,6.99,4.553,17011400,ACUCAR DEMERARA ALTO ALEGRE 10X1KG QTD. 1.00 FD,04/07/2026,
f125119,f2401231,50.0,f7891022860450,10.2,6.25,38099190,"AM.MON BIJOU + PERFUME (AZUL) 6X1,7L QTD. 1.00 CX",04/19/2026,
f117078,f3291,50.0,f7898418141827,3.99,2.598,76071110,PAPEL ALUMINIO DIVINA MESA 30X4M 5X1UN QTD. 3.00 DP,02/24/2026,
f121397,f5195,50.0,f7896272004197,7.65,4.587,20057000,AZEITONA FAT.VALE FERTIL DOYPACK 120GR QTD. 24.00 UN,05/19/2026,
f121414,f2605239,50.0,f7896272009413,7.99,4.816,20031000,COGUMELO VALE FERTIL FATIADO DOY PACK 100GR QTD. 12.00 UN,04/01/2026,
f92223,f1382419,50.0,f7896020417088,2.2,1.13,35061010,COLA INST.THREE BOND SUPER 1000 SM. 24x2G QTD. 1.00 DP,04/28/2026,
f119752,f6359,50.0,f7896704101005,0.6,0.239,21069090,GELADINHO AMERICANO SORTIDO 40X55ML QTD. 12.00 DP,04/23/2026,
f117079,f260,50.0,f7898418141353,6.5,4.065,76071110,"PAPEL ALUMINIO DIVINA MESA 30X7,5 5X1UN QTD. 2.00 DP",12/30/2025,
f126847,f161,50.0,f7896110002248,4.5,2.902986111077777,96190000,ABS.SYM ABAS C.SUAVE ROSA (ARV08) 3X8UN QTD. 4.00 DP,02/19/2026,
f126952,f162,50.0,f7896110003863,4.5,2.898888888855556,96190000,ABS.SYM ABAS C.SECA LARANJA(ASV08) 3X8UN QTD. 1.00 DP,05/07/2026,
f125887,f30122564,50.0,f7899674035448,10.5,6.866666666666666,33072010,DEO.ROLL-ON ABOVE SPORT ENERGY MASC. 3X50ML QTD. 1.00 DP,01/09/2026,
f138116,f29102471,50.0,f7896306625213,3.2,1.888,19053200,CHOC.TRENTO CHEESECAKE DE MORANGO 16X29G QTD. 1.00 DP,12/30/2025,
f138117,f8102468,50.0,f7896306625237,3.2,1.848,19053200,CHOC.TRENTO CHOCOLATE AO LEITE 16X29G QTD. 1.00 DP,03/24/2026,
f138118,f8102470,50.0,f7896306625251,3.2,1.848,19053200,CHOC.TRENTO CHOCOLATE BRANCO 16X29G QTD. 1.00 DP,03/24/2026,
f119382,f1212211,50.0,f07898586133563,3.99,2.1385,85395200,LAMP.FOXLUX LED 09W 6500K CERTIF.BIV. 1UN QTD. 10.00 UN,05/19/2026,
f2375,f3116,50.0,f7898418141667,3.99,2.191388888855556,21033021,MOSTARDA DIVINA MESA BISNAGA 12X180GR QTD. 1.00 CX,05/26/2026,
f3220,f109,50.0,f7891021001946,6.2,3.176,48232099,FILTRO PAPEL MELITTA N 103 6X30UN QTD. 6.00 DP,05/26/2026,
f2389,f2063,50.0,f7898215152002,8.5,5.259958847725515,4029900,LEITE COND.PIRACANJUBA SEMIDESNATADO TP 27X395G QTD. 2.00 CX,04/23/2026,
f117725,f0942,50.0,f7896022205683,6.99,4.139,19053100,BISC.TODESCHINI LEITE 10X360G QTD. 2.00 DP,03/18/2026,
f117726,f7644,50.0,f7896022205836,6.99,4.139,19053100,BISC.TODESCHINI MAIZENA 10X360G QTD. 2.00 DP,03/10/2026,
f139339,f2852586,50.0,f7896005213698,5.99,3.661,11010010,FAR.DE TRIGO ESP.SOL 10X1KG QTD. 2.00 FD,05/07/2026,
f135501,f1436,50.0,f7891132080038,12.99,8.405277777744443,21039021,SAL GROSSO P/CHURRASCO AJI-SAL 500G QTD. 6.00 UN,12/30/2025,
f74535,f960,50.0,f7896508200034,5.99,3.19,17019900,ACUCAR REFINADO ALTO ALEGRE 10X1KG QTD. 10.00 FD,05/07/2026,
f120443,f1146,40.0,f7893500020110,8.99,6.322,10063021,ARROZ TIO JOAO BRANCO 10X1KG QTD. 2.00 FD,05/26/2026,
f120405,f1514,40.0,f7896267000128,4.99,3.39,10063011,ARROZ BURITI PARBOILIZADO T-1 10X1KG QTD. 5.00 FD,05/26/2026,
f4022,f1148,40.0,f7898171400049,6.99,4.742,7133319,FEIJAO PRETO PE VERMELHO T-1 10X1KG QTD. 2.00 FD,04/23/2026,
f4023,f2221,40.0,f7898171400025,10.2,7.42,7133399,FEIJAO CARIOCA PE VERMELHO T-1 10X1KG QTD. 2.00 FD,04/19/2026,
f713,f2709,50.0,f7898418140806,2.99,1.551,22090000,VINAGRE DIVINA MESA DE ALCOOL 12X750ML QTD. 2.00 CX,05/19/2026,
f124050,f162521,50.0,f7891031412251,7.5,4.450277777744445,21039011,MAIONESE HEMMER TRAD.SACHE 6X200G QTD. 1.00 DP,05/26/2026,
f121242,f16820230,50.0,f7891031412176,11.5,7.172361111144444,21039011,MAIONESE HEMMER RECEITA CASEIRA POTE 12X500G QTD. 1.00 CX,04/08/2026,
f3219,f108,50.0,f7891021001885,5.5,3.176,48232099,FILTRO PAPEL MELITTA N 102 6X30UN QTD. 2.00 DP,05/26/2026,
f119688,f3106,50.0,f7898418141261,5.5,3.086,48232099,FILTRO PAPEL DIVINA MESA 103 5X30UN QTD. 6.00 DP,05/26/2026,
f25021,f1577,50.0,f7894321631011,6.99,4.11,11041900,POLENTINA QUAKER 10X500G QTD. 1.00 DP,05/19/2026,
f118963,f2747,50.0,f7898418140424,2.49,1.676,25010020,SAL REFINADO DIVINA MESA 10X1KG QTD. 3.00 FD,04/10/2026,
f120032,f3698521,50.0,f7896015910020,5.5,3.461,11062000,FAR.DE MAND.PINDUCA TORRADA 10X500GR QTD. 1.00 FD,05/07/2026,
f120970,f28620233,50.0,f7622210992918,4.99,3.461,21023000,FERMENTO ROYAL QMCO PO PT L12P11 12X100G QTD. 1.00 DZ,05/26/2026,
f22640,f72361,50.0,f7896102500493,4.99,3.344,20054000,ERVILHA QUERO LT 24X170GR QTD. 1.00 CX,03/18/2026,
f118032,f5810,50.0,f7898418143098,8.99,4.833984375,48181000,P.H.FD DOUBLE 30M NEUTRO 16X4 16X4X30M QTD. 2.00 FD,05/19/2026,
f78530,f5972,50.0,f7896083800346,5.5,3.08,28289011,ALV.LIQ.QBOA LAVANDA 12X1LT QTD. 1.00 CX,12/30/2025,
f248,f74,50.0,f7896083800018,4.99,2.806,28289011,AGUA SANIT.QBOA 12X1L QTD. 1.00 CX,04/23/2026,
f119026,f4368,50.0,f7897664170766,16.99,10.489,38089119,INSET.AERO.MAT INSET SEM CHEIRO L+P- 360ML QTD. 6.00 UN,02/04/2026,
f2340,f6818,50.0,f7898418141803,11.99,8.087,63071000,SACO ALG.ALVEJADO LAVADO LIMPS 40X65CM 12X1UN QTD. 1.00 DP,04/23/2026,
f119711,f2102461,50.0,f7898418144071,7.99,5.207,34060000,VELA PETALAS N.2 24G 10X6UN QTD. 2.00 DP,05/26/2026,
f53414,f1454,50.0,f7896017411303,11.99,8.158,34060000,VELA GUANABARA N.3 6X8UN QTD. 1.00 DP,05/26/2026,
f138051,f8102480,50.0,f7891022867732,8.99,5.505,34054000,SAPONACEO CREMOSO RADIUM CLASSICO 20%GTS 3X250ML QTD. 1.00 DP,05/19/2026,
f138946,f242563,50.0,f7891022867763,7.99,5.056,34054000,SAPONACEO CREMOSO RADIUM CLORO 20%GTS 3X250ML QTD. 1.00 DP,02/04/2026,
f60984,f72871,50.0,f7896098900253,3.99,2.266,34025000,DETER.LIQ.YPE CLEAR 24X500ML QTD. 1.00 CX,12/30/2025,
f54712,f443,50.0,f7896098900208,3.99,2.266,34025000,DETER.LIQ.YPE NEUTRO 24X500ML QTD. 1.00 CX,12/30/2025,
f54739,f445,50.0,f7896098900215,3.99,2.266,34025000,DETER.LIQ.YPE MACA 24X500ML QTD. 1.00 CX,12/30/2025,
f830,f2985,50.0,f7896098900277,3.99,2.266,34025000,DETER.LIQ.YPE CLEAR CARE 24X500ML QTD. 1.00 CX,12/30/2025,
f123494,f139202390,50.0,f7898418145153,26.99,17.708,20089100,PALMITO DIVINA MESA PUP.INTEIRO TOLETE 6X300GR QTD. 1.00 CX,04/23/2026,
f123496,f1507223,50.0,f7898418145177,14.99,8.98,20089100,PALMITO DIVINA MESA PUP. RODELAS 6X300G QTD. 1.00 CX,03/06/2026,
f120534,f2601221,50.0,f7896072630121,4.99,3.328,33021000,AROMA ARTIF.BAUNILHA MAVALERIO 12X30ML QTD. 1.00 DP,05/19/2026,
f118970,f3534,50.0,f7622300990701,7.2,4.9916666667,19059020,BISC.CLUB SOCIAL ORIGINAL 144G QTD. 6.00 UN,12/30/2025,
