cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f93309,f2606232,50,f7891330019274,1.5,0.85,18069000,MUMU KIDS COCO 24X15G,8/4/2023,24.0
f93311,f2606233,50,f7891330019601,1.5,0.85,18069000,MUMU KIDS UVA 24X15G,8/4/2023,24.0
f93227,f4820237,50,f7891330018819,13.2,8.79,18069000,"MUMU KIDS SORTIDO 187,20G",8/4/2023,
f65975,f2101222,50,f7896412802454,2.99,1.71,19053100,BISCOITO CHOCOLATE TORTISSIMAS 130G,8/4/2023,
f65976,f210120221,50,f7896412802478,2.99,1.71,19053100,BISCOITO LIMAO TORTISSIMAS 130G,8/4/2023,
f65741,f4820238,50,f7896412800092,4.5,2.99,19021100,MASSA ESPAGUETE C/OVOS ORQ.500G,8/4/2023,
f65911,f4820239,50,f7896412851162,4.5,2.99,4062000,QUEIJO PARMESAO RALADO ORQUIDEA 40G,8/4/2023,
f92312,f2811221,50,f7891330009176,3.99,2.45,18069000,BIBS AO LEITE 18X40G,11/17/2023,18.0
f92320,f1711202381,50,f7891330015177,3.99,2.45,18069000,BIBS PASSAS 18X40G,11/17/2023,18.0
f93097,f2211227,50,f7891330016921,1.5,0.85,18069000,"MUMU KIDS BANANA 24X15,6G",11/17/2023,24.0
f93098,f2209226,50,f7891330016945,1.5,0.85,18069000,"MUMU KIDS CHOCOLATE 24X15,6G",11/17/2023,24.0
f93099,f2209225,50,f7891330016594,1.5,0.85,18069000,"MUMU KIDS BAUNILHA 24X15,6G",11/17/2023,24.0
f93147,f22112210,50,f7891330018444,1.5,0.85,18069000,"MUMU KIDS MORANGO 24X15,6G",11/17/2023,24.0
f60003,f1711202396,50,f7896412803031,11.5,7.59,19019090,FARINHA PANKO ORQUIDEA 250G,11/17/2023,
f65911,f4820239,50,f7896412851162,5.5,3.49,4062000,QUEIJO PARMESAO RALADO ORQUIDEA 40G,11/17/2023,
f71059,f1711202311,50,f7896321026224,9.2,6.13,17049020,FOFS MARSHMALLOW PARA ASSAR 220G,11/17/2023,
f71079,f1711202344,50,f7896321024343,3.99,2.44,17049020,FOFS TWIST PRINCESS 50G,11/17/2023,
f71033,f12122384,50,f7896321025876,4.2,2.79,17049020,BALA DE GOMA BANANAS 200G,12/12/2023,
f71119,f12122382,50,f7896321025425,4.2,2.79,17049020,BALA DE GOMA MINHOCAS AZEDINHAS FLOR 201G,12/12/2023,
f71117,f12122342,50,f7896321025753,0,0,17049020,MARSHMALLOW FOFS TWIST DINOS 36X15G,12/12/2023,15
