cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f000000000012031023,f2072,30.0,f7896005800362,0.0,6.945,9012100,CAFE TM 3C TRAD VAC 20X250G,7/27/2023,
f000000000012031023 - FD,f27720230,30.0,f17896005800369,0.0,138.9,9012100,CAFE TM 3C TRAD VAC 20X250G,7/27/2023,
f000000000012035027,f7143,50.0,f7896005804391,8.99,5.986666666633333,18069000,CHOCOLATTO 3C REF 5S 12X300G,7/27/2023,
f000000000012035027 - FD,f27720231,50.0,f27896005804395,107.99,71.8399999996,18069000,CHOCOLATTO 3C REF 5S 12X300G,7/27/2023,
f000000000012035047,f0203231,50.0,f7896045110582,8.5,5.250277777777778,18069000,CHOCOLATTO 3 CORACOES LATA 30X370G,7/27/2023,
f000000000012036028,f27720232,50.0,f7896045111077,18.5,12.203611111111112,21011200,CAFE C/LEITE 3 CORACOES LATA 12X300G,7/27/2023,
f000000000012144001,f00051,30.0,f7896019207294,0.0,7.82,21011200,CAFE CAPP IGUA CHOC PT 24X200G,7/27/2023,
f000000000020908885,f7648,50.0,f7896005804247,11.99,7.69,39241000,PORTA FILTRO 3C PLAST VM 102 C/12,7/27/2023,
f000000000020908886,f8072,50.0,f7896005804254,13.99,9.1,39241000,PORTA FILTRO 3C PLAST AM 103 C/12,7/27/2023,
f000000000012031005,f2427,30.0,f7896005801819,9.2,6.945,9012100,CAFE TM 3C EF VAC 20X250G,8/10/2023,
f000000000012031005 - FD,f10820239,30.0,f17896005801816,180.99,138.9,9012100,CAFE TM 3C EF VAC 20X250G,8/10/2023,
f000000000012031215,f72632,30.0,f7896045102440,18.2,13.89,9012100,CAFE TORRADO MOIDO 3 CORACOES TRADICONAL VACUO 20X500G,8/10/2023,
f000000000012031023,f2072,30.0,f7896005800362,9.2,6.945,9012100,CAFE TM 3C TRAD VAC 20X250G,8/23/2023,
f000000000012031023 - FD,f27720230,30.0,f17896005800369,541.99,416.7000000000001,9012100,CAFE TM 3C TRAD VAC 20X250G,8/23/2023,
f000000000012031023,f2072,30.0,f7896005800362,9.2,6.945,9012100,CAFE TM 3C TRAD VAC 20X250G,8/23/2023,
f000000000012031023 - FD,f27720230,30.0,f17896005800369,541.99,416.7000000000001,9012100,CAFE TM 3C TRAD VAC 20X250G,8/23/2023,
f000000000012031005 - FD,f10820239,30.0,f17896005801816,326.5,251.0,9012100,CAFE TM 3C EF VAC 20X250G,11/13/2023,
f000000000012031023,f2072,30.0,f7896005800362,9.2,6.275,9012100,CAFE TM 3C TRAD VAC 20X250G,12/11/2023,
f000000000012031023 - FD,f27720230,30.0,f17896005800369,541.99,125.5,9012100,CAFE TM 3C TRAD VAC 20X250G,12/11/2023,
f000000000012035053,f0203231,50.0,f7896045110582,9.99,5.693333333333333,18069000,CHOCOLATTO 3 CORACOES LATA 12X370G,12/11/2023,
f000000000012035053 - FD,f11122379,50.0,f47896045110580,102.5,68.32,18069000,CHOCOLATTO 3 CORACOES LATA 12X370G,12/11/2023,
f000000000012036039,f27720232,50.0,f7896045111077,18.5,11.238333333333332,21011200,CAFE C/LEITE 3 CORACOES LATA 6X300G,12/11/2023,
f000000000012036039 - FD,f11122381,50.0,f37896045111078,101.2,67.43,21011200,CAFE C/LEITE 3 CORACOES LATA 6X300G,12/11/2023,
f000000000012142100,f11122360,30.0,f7896045110001,19.5,14.929166666666667,21011110,CAFE SOLUVEL IGUACU TRADICIONAL LEVE 200 PAGUE 190 LATA 12X200G,12/11/2023,
f000000000012144002,f0510223,30.0,f7896019201537,9.99,6.628888888888889,21011200,CAFE CAPP IGUA CLAS PT 24X200G,12/11/2023,
f000000000012144004,f11122339,30.0,f7896019208918,8.99,6.628888888888889,21011200,CAFE CAPP IGUA CONFEIT CHOC PT 24X200G,12/11/2023,
f000000000012031023,f2072,30.0,f7896005800362,9.2,6.28,9012100,CAFE TM 3C TRAD VAC 20X250G,1/22/2024,
f000000000012031023 - FD,f27720230,30.0,f17896005800369,541.99,251.2,9012100,CAFE TM 3C TRAD VAC 20X250G,1/22/2024,
f000000000012031215 - FD,f2212432,30.0,f17896045102447,652.99,502.0,9012100,CAFE TORRADO MOIDO 3 CORACOES TRADICONAL VACUO 20X500G,1/22/2024,
f000000000012144001,f00051,30.0,f7896019207294,11.1,6.628888888888889,21011200,CAFE CAPP IGUA CHOC PT 24X200G,1/22/2024,
f000000000012144001,f00051,30.0,f7896019207294,11.1,6.8675,21011200,CAFE CAPP IGUA CHOC PT 24X200G,1/22/2024,
f000000000012031005 - FD,f10820239,30.0,f17896005801816,326.99,251.2,9012100,CAFE TM 3C EF VAC 20X250G,2/27/2024,
f000000000012034010,f2722416,50.0,f7896005802373,1.5,0.9792,21011200,CAFE CAPPUCCINO 3 CORACOES CLASSIC SACHE 50X20G,2/27/2024,
f000000000012034010 - FD,f2722465,50.0,f17896005802370,73.5,48.96,21011200,CAFE CAPPUCCINO 3 CORACOES CLASSIC SACHE 50X20G,2/27/2024,
f000000000012035047,f0203231,50.0,f7896045110582,9.99,5.876133333333333,18069000,CHOCOLATTO 3 CORACOES LATA 30X370G,2/27/2024,
f000000000012142514,f2722450,30.0,f7896045102990,4.5,3.4483333333333333,21011110,CAFE SOLUVEL IGUACU PO TRADICIONAL REFIL 12X40G,2/27/2024,
f000000000012142514 - FD,f2722457,30.0,f27896045102994,53.99,41.38,21011110,CAFE SOLUVEL IGUACU PO TRADICIONAL REFIL 12X40G,2/27/2024,
f000000000012031213,f72588,30.0,f7896045102396,17.99,13.805,9012100,CAFE TORRADO MOIDO 3 CORACOES EXTRA FORTE VACUO 20X500G,3/26/2024,
f000000000012031213 - FD,f2632438,30.0,f17896045102393,358.99,276.1,9012100,CAFE TORRADO MOIDO 3 CORACOES EXTRA FORTE VACUO 20X500G,3/26/2024,
f000000000012034000,f2632472,30.0,f7896005802403,2.2,1.5652,21011200,CAFE CAPPUCCINO 3 CORACOES BAUNILHA SACHE 50X20G,3/26/2024,
f000000000012034000 - FD,f2632461,30.0,f17896005802554,101.99,78.25999999999999,21011200,CAFE CAPPUCCINO 3 CORACOES BAUNILHA SACHE 50X20G,3/26/2024,
f000000000012034001,f2632446,30.0,f7896005802427,2.2,1.5652,21011200,CAFE CAPPUCCINO 3 CORACOES CANELA SACHE 50X20G,3/26/2024,
f000000000012034001 - FD,f2632426,30.0,f17896005802561,101.99,78.25999999999999,21011200,CAFE CAPPUCCINO 3 CORACOES CANELA SACHE 50X20G,3/26/2024,
f000000000012034003,f2632490,30.0,f7896005802397,2.2,1.5652,21011200,CAFE CAPPUCCINO 3 CORACOES CHOCOLATE SACHE 50X20G,3/26/2024,
f000000000012034003 - FD,f2632476,30.0,f17896005802547,101.99,78.25999999999999,21011200,CAFE CAPPUCCINO 3 CORACOES CHOCOLATE SACHE 50X20G,3/26/2024,
f000000000012034010,f2722416,50.0,f7896005802373,2.5,1.5652,21011200,CAFE CAPPUCCINO 3 CORACOES CLASSIC SACHE 50X20G,3/26/2024,
f000000000012034010 - FD,f2722465,50.0,f17896005802370,117.5,78.25999999999999,21011200,CAFE CAPPUCCINO 3 CORACOES CLASSIC SACHE 50X20G,3/26/2024,
f000000000012031023,f2072,30.0,f7896005800362,9.2,6.908,9012100,CAFE TM 3C TRAD VAC 20X250G,3/26/2024,
f000000000012031023 - FD,f27720230,30.0,f17896005800369,541.99,138.16,9012100,CAFE TM 3C TRAD VAC 20X250G,3/26/2024,
f000000000012142100,f11122360,30.0,f7896045110001,21.5,16.441388888888888,21011110,CAFE SOLUVEL IGUACU TRADICIONAL LEVE 200 PAGUE 190 LATA 12X200G,3/26/2024,
f000000000012142514,f2722450,30.0,f7896045102990,4.99,3.815,21011110,CAFE SOLUVEL IGUACU PO TRADICIONAL REFIL 12X40G,3/26/2024,
f000000000012142514 - FD,f2722457,30.0,f27896045102994,59.5,45.78,21011110,CAFE SOLUVEL IGUACU PO TRADICIONAL REFIL 12X40G,3/26/2024,
f000000000012144001,f00051,30.0,f7896019207294,11.1,6.636111111111111,21011200,CAFE CAPP IGUA CHOC PT 24X200G,3/26/2024,
f000000000012031023,f2072,30.0,f7896005800362,9.7,6.908,9012100,CAFE TM 3C TRAD VAC 20X250G,4/2/2024,
f000000000012031023 - FD,f27720230,30.0,f17896005800369,541.99,414.48,9012100,CAFE TM 3C TRAD VAC 20X250G,4/2/2024,
f000000000012034010,f2722416,50.0,f7896005802373,2.5,1.2948,21011200,CAFE CAPPUCCINO 3 CORACOES CLASSIC SACHE 50X20G,5/19/2024,
f000000000012034010 - FD,f2722465,50.0,f17896005802370,117.5,64.74,21011200,CAFE CAPPUCCINO 3 CORACOES CLASSIC SACHE 50X20G,5/19/2024,
f000000000012035053,f0203231,50.0,f7896045110582,11.99,7.919166666700001,18069000,CHOCOLATTO 3 CORACOES LATA 12X370G,5/19/2024,
f000000000012035053 - FD,f11122379,50.0,f47896045110580,142.99,95.0300000004,18069000,CHOCOLATTO 3 CORACOES LATA 12X370G,5/19/2024,
f000000000012036019,f1952477,50.0,f7896005807521,1.5,0.9144,21011200,CAFE C/LEITE 3CORACOES SACHE 50X20G,5/19/2024,
f000000000012036019 - FD,f1952440,50.0,f17896005807528,68.99,45.720000000000006,21011200,CAFE C/LEITE 3CORACOES SACHE 50X20G,5/19/2024,
f000000000012031005,f2427,30.0,f7896005801819,9.7,6.908,9012100,CAFE TM 3C EF VAC 20X250G,5/22/2024,
f000000000012031005 - FD,f10820239,30.0,f17896005801816,359.5,276.32,9012100,CAFE TM 3C EF VAC 20X250G,5/22/2024,
