cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f112008,f4395,50,f80052760,8.99,5.99,19053200,FER-KINDER BUENO 2X30 UNDS,7/3/2023,
f112008 - FD,f3720230,50,f8000500073698,269.99,179.70000000000002,19053200,FER-KINDER BUENO 2X30 UNDS,7/3/2023,
f77164573,f1602235,50,f7898024397410,13.99,9.28,18063110,FER-KINDER CHOCOLATE 10X6 UNDS,7/3/2023,
f77164573 - FD,f3720231,50,f17898024397417,139.2,92.8,18063110,FER-KINDER CHOCOLATE 10X6 UNDS,7/3/2023,
f77230232,f3720232,50,f8000500346815,39.5,26.32,18069000,FER-KINDER CREAMY 1X08 UNDS,7/3/2023,
f77236240,f1602232,50,f78945463,3.5,1.9107142857,17049020,"FER-TIC TAC FRUTAS COMO TE GUSTA 14X14,5 G",7/3/2023,
f77236240 - FD,f3720233,50,f7898024398806,40.2,26.7499999998,17049020,"FER-TIC TAC FRUTAS COMO TE GUSTA 14X14,5 G",7/3/2023,
f77236372,f1602233,50,f78945456,3.5,1.9107142857,17049020,"FER-TIC TAC LARANJA 14X14,5 G",7/3/2023,
f77236372 - FD,f3720234,50,f7898024398790,40.2,26.7499999998,17049020,"FER-TIC TAC LARANJA 14X14,5 G",7/3/2023,
f77236595,f1602234,50,f78945487,3.5,1.9107142857,17049020,"FER-TIC TAC MELANCIA 14X14,5 G",7/3/2023,
f77236595 - FD,f3720235,50,f7898024398820,40.2,26.7499999998,17049020,"FER-TIC TAC MELANCIA 14X14,5 G",7/3/2023,
f77236241,f0803235,50,f78945470,2.99,1.9107142857,17049020,"FER-TIC TAC MORANGO 14X14,5 G",7/3/2023,
f77236241 - FD,f3720236,50,f7898024398813,40.2,26.7499999998,17049020,"FER-TIC TAC MORANGO 14X14,5 G",7/3/2023,
f61705,f575,50,f7896022200572,5.99,3.59,19021900,SEMOLA PENA 500 G GALO,7/3/2023,
f25066,f4065,50,f7891048050668,1.99,1.29,21069029,GELATINA MORANGO 20 G OETKER,7/3/2023,
f25072,f1601231,50,f7891048050729,1.99,1.29,21069029,GELATINA CEREJA C/ AMORA SILVESTRE 20 G OETKER,7/3/2023,
f24511,f5940,50,f7891048045114,3.5,2.29,21069021,PUDIM BAUNILHA 50 G OETKER,7/3/2023,
f62806,f1791,50,f7896022200794,5.99,3.79,19021900,SEMOLA FURADINHO 5 500 G GALO,7/3/2023,
fLN50135,f1602231,50,f7896001260825,4.99,3.08,21069029,LIN-GELATINA MORANGO 10G,7/3/2023,
