cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f4501170,f1611202364,50.0,f7896022207878,6.5,4.28,19053100,TDC-ROSQUINHA TODESCHINI COCO 300 GR,08/22/2025,
f4052606,f5345,50.0,f7896022205720,5.5,3.6,19021100,TDC-TODESCHINI SPAGHETTI VENEZA 5 C/ OVOS 500 GR,06/17/2025,
f4051605,f5696,50.0,f7896022205737,5.99,3.63,19021100,TDC-TODESCHINI PARAFUSO C/ OVOS 500 GR,09/17/2025,
f53403 - FD,f842480,50.0,f7898591453403,15.99,10.2200000004,17049020,FINI AMORAS DP 12X15 G,08/22/2025,
f53410 - FD,f17720231,50.0,f7898591453410,15.5,10.2200000004,17049020,FINI BANANAS DP 12X15 G,10/07/2025,
f53427 - FD,f17720232,50.0,f7898591453427,15.99,10.2200000004,17049020,FINI BEIJOS DE MORANGO DP 12X15 G,10/07/2025,
f53434 - FD,f17720234,50.0,f7898591453434,15.99,10.2200000004,17049020,FINI DENTADURAS DP 12X15 G,10/07/2025,
f80207,f72452,50.0,f7908228802068,2.99,1.75,17049020,FINI TUBES GIGANTE MORANGO CITRICO DP 24X27 G,4/8/2024,24.0
fRA0010842,f6193,50.0,f7896009718113,8.5,5.5,85061020,RAY-PILHA DE ZINCO AA C/04 UNDS,5/17/2024,
fRA0010307,f55889,50.0,f7896009761911,8.5,5.5,85061020,RAY-PILHA DE ZINCO AAA C/04 UNDS,09/16/2024,
fRA0020324,f5465,50.0,f7896009765148,13.99,9.11,85061019,RAY-PILHA ALCALINA AAA LV04/PG03 UNDS,5/17/2024,
fRA0208013,f7701,50.0,f7896009765131,12.5,8.26,85061019,RAY-PILHA ALCALINA AA LV04/PG03 UNDS,5/17/2024,
fBI871316,f5720233,50.0,f070330717534,5.99,3.943333333333333,82121020,BIC-APAR DE BARBEAR COMFORT 3 ACT NORMAL C/12 UNDS,10/26/2025,12.0
fBI876510,f2632,50.0,f070330703629,1.99,1.29125,82121020,BIC-APAR DE BARBEAR SENSITIVE 12X2 UNDS,09/26/2025,24.0
fCA020282,f2309221,50.0,f7896036099988,4.99,2.99,21032010,CAR-MOLHO DE TOMATE POMAROLA TRADICIONAL SACHE 300GR,08/17/2025,
fCA028152,f1005233,50.0,f7896036000717,9.99,5.89,20029000,CAR-EXTRATO DE TOMATE ELEFANTE PP 300GR,09/26/2025,
fCA013435,f1112221,50.0,f7896036099513,3.2,2.12,21032010,CAR-MOLHO DE TOMATE TARANTELLA HOT DOG SACHE 300GR,5/17/2024,
fCA012536,f1752445,50.0,f7896036099445,6.99,4.42,20029000,CAR-MOLHO DE TOMATE POMAROLA CHEF PASSATA SACHE 300GR,10/26/2025,
fCA137686,f08306,50.0,f7896036093085,11.99,7.61,15179010,CAR-MARIA OLEO COMPOSTO TRADICIONAL LATA 200ML,5/17/2024,
fCA137142,f105,50.0,f7896036094815,3.99,2.53,21039011,CAR-MAIONESE LIZA TRADICIONAL SACHE 196GR,09/26/2025,
f77200218,f3233,50.0,f78940840,13.5,9.3908333333,18069000,FER-KINDER OVO MENINAS 1X12 UNDS,06/30/2025,
f77200218 - FD,f5122346,50.0,f7898024398288,160.99,112.6899999996,18069000,FER-KINDER OVO MENINAS 1X12 UNDS,06/30/2025,
f77200106,f72560,50.0,f78940833,14.99,9.681666666666668,18069000,FER-KINDER OVO MENINOS 1X12 UNDS,08/29/2025,12.0
f77218092,f9291,50.0,f7898024397915,5.2,2.99,19053200,FER-NUTELLA B-READY 1X10 UNDS,10/07/2025,10.0
f77181115,f124121,50.0,f7898024395232,15.5,9.98,18069000,FER-NUTELLA 140 G,10/07/2025,
f77164573,f2021,50.0,f80050315,3.99,2.346,18063110,FER-KINDER CHOCOLATE 10X6 UNDS,08/29/2025,6.0
f77164573 - FD,f3720231,50.0,f17898024397417,211.2,140.76,18063110,FER-KINDER CHOCOLATE 10X6 UNDS,08/29/2025,
f77244542,f1912221,50.0,f8000500384763,5.99,3.831,19053200,FER-KINDER TRONKY 1X10 UNDS,09/12/2025,10.0
fCL3020006,f0612223,50.0,f7896931614910,13.2,8.49,20098921,CPL-AGUA DE COCO C.LARGO 900 ML,05/27/2025,
f4570220,f0942,50.0,f7896022205683,6.99,4.79,19053100,TDC-BISC TODESCHINI LEITE 360 GR,10/07/2025,
f4501270,f1611202324,50.0,f7896022207885,6.5,3.96,19053100,TDC-ROSQUINHA TODESCHINI LEITE 300 GR,09/17/2025,
f4570020,f85,50.0,f7896022205669,5.99,3.91,19053100,TDC-BISC TODESCHINI CREAM CRACKER 360 GR,07/18/2025,
f53410,f789214,50.0,f7898591450686,1.5,0.8516666667,17049020,FINI BANANAS DP 12X15 G,10/07/2025,
f53410 - FD,f17720231,50.0,f7898591453410,15.5,10.2200000004,17049020,FINI BANANAS DP 12X15 G,10/07/2025,
fPF2000018,f202,50.0,f7895144603087,2.99,1.741875,17049020,PVM-MENTOS STICK MORANGO/YOGURT DP 14X16 UNDS,5/24/2024,
fPF2000018 - FD,f2452489,50.0,f7895144693088,41.99,27.87,17049020,PVM-MENTOS STICK MORANGO/YOGURT DP 14X16 UNDS,5/24/2024,
f4570120,f528,50.0,f7896022205676,6.99,4.55,19053100,TDC-BISC TODESCHINI AGUA E SAL 360 GR,09/17/2025,
f62905,f2155,50.0,f7896022203566,6.99,4.78,19021900,SEMOLA ALETRIA 500 G GALO,09/12/2025,
f62606,f583,50.0,f7896022200756,5.99,3.83,19021900,SEMOLA ESPAGUETE 8 500 G GALO,09/22/2025,
f60705,f574,50.0,7896022200350,5.5,3.59,19021900,SEMOLA PADRE NOSSO 500 G GALO,05/27/2025,
f61705,f575,50.0,7896022200572,5.99,3.83,19021900,SEMOLA PENA 500 G GALO,10/14/2025,
