cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f003004000003,f72897,50,f7908349900094,11.99,7.9,19022000,BOLINHA DE QUEIJO FRITA PCT 400G,7/7/2023,
f003004000005,f72898,50,f7908349900070,11.99,7.9,19022000,COXINHA DE FRANGO C/ REQUEIJAO FRITA 25G PCT 400G,7/7/2023,
f003005000003,f2105213,50,f7898960283495,9.5,6.2,19012000,PAO DE QUEIJO DELICIOLI 25G PCT 400G,7/7/2023,
f003004000002,f26720230,50,f7908349900117,11.99,7.9,19022000,TRAVESSEIRINHO DE CARNE FRITO 25G PCT 400G,7/26/2023,
f3002010,f72897,50,f7908349900094,11.99,7.9,19022000,BOLINHA DE QUEIJO FRITA PCT 400G,11/9/2023,
f3002012,f72898,50,f7908349900070,11.99,7.9,19022000,COXINHA DE FRANGO C/ REQUEIJAO FRITA 25G PCT 400G,11/9/2023,
f3003003,f2105213,50,f7898960283495,9.5,6.2,19023000,PAO DE QUEIJO DELICIOLI 25G PCT 400G,11/9/2023,
f3002009,f26720230,50,f7908349900117,11.99,7.9,19022000,TRAVESSEIRINHO DE CARNE FRITO 25G PCT 400G,11/24/2023,
f3002017,f1000017,50,f7908349900285,11.99,7.9,19022000,COXINHA DE CALABRESA C/ REQUEIJAO FRITA 25G PCT 400G,4/5/2024,
f3002019,f2242493,50,fSEM GTIN,11.99,7.9,19022000,CHURRINHOS SABOR DOCE DE LEITE FRITO 400G,4/22/2024,
