cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f67998,f112250,50,f7894904846672,14.99,9.833,19022000,LASANHA MISTA SEARA 600G (10),02/11/2025,
f68737,f1122587,50,f7894904684397,17.2,10.154075,16023290,CHICKEN SUPREME SEARA 300G(16),05/21/2026,
f62096,f1712224,50,f7896353300033,20.99,13.929375,4061090,REQUEIJAO POUCH TRAD CATUPIRY 250G (16),04/23/2026,
f62091,f1122543,50,f7896353301184,10.5,5.979722222255556,4061090,REQUEIJAO S/AMID TRAD CATUPIRY 200G (24),05/22/2026,
f62100,f1122528,50,f7896353301177,19.5,12.901111111144443,4061090,REQUEIJAO POUCH CHEDDAR CATUPIRY 250G,03/09/2025,
f62099,f112256,50,f7896353301115,18.99,12.511111111111113,4061090,REQUEIJAO POUCH 4 QUEIJOS CATUPIRY 250G,03/20/2025,
f69615,f1122563,50,f7896353302297,16.2,10.700849,4051000,MANTEIGA S/SAL TABLET CATUPIRY 200G (12),04/02/2025,
f69614,f00037,50,f7896353302303,12.99,8.558639,4051000,MANTEIGA C/SAL TABLET CATUPIRY 200G (12),05/21/2026,
f64022,f1122514,50,f736532288011,27.99,18.403960396,7108000,VG ALHO DESCA CG MARO FOODS 1.01KG Y,02/11/2025,
f32638,f26720232,50,f7898202615060,14.5,10.091661,39241000,GARFO FORTE BCO STRAWP 50UN (10),02/11/2025,
f64229,f1122548,50,f5411963945409,21.2,14.13,7102100,VG ERVILHA CG CULINEX 25X400G Y,02/11/2025,
f68394,f4421,50,f7894904573387,4.99,3.0455,16010000,PATE PRESUNTO SEARA 100G,05/22/2026,
f70060,f0612223,50,f7896931614910,14.99,9.813680555555557,20098921,AGUA DE COCO CAMPO LARGO INT 900ML (6),05/21/2026,
f68639,f4585,50,f7894904500116,13.99,9.164578,16023290,EMPANADO FRANGO TEKITOS SEARA 300G(16),04/23/2026,
f69233,f1422517,50,f7894904268559,21.99,14.005277777811113,16010000,PEITO PERU DEF FAT SEARA 150G(24),02/04/2026,
f69232,f1422539,50,f7894904268573,10.99,6.18,16010000,MORTADELA C/GORD DEF FAT SEARA 180G(22),03/20/2025,
f27582,f7864,50,f7894904574780,5.99,3.81875,15171000,MARGARINA DORIANA 80% C/SAL 250G (24),02/14/2025,
f27521,f4300,50,f7894904082704,16.86,11.18,19022000,LASANHA BOLONHESA SEARA 600G (10),05/22/2026,
f73121,f932554,50,f0040141043610,7.99,5.0200000000000005,20041000,BATATA CG NAMIFOODS 9MM 25X400G Y,03/09/2025,2.5
f71007,f72369,50,f7896931614149,20.5,12.741049,20091200,SUCO CAMPO LARGO UVA INT 1.35LT (6),04/09/2026,
f62092,f203257,50,f07896353301191,11.99,7.741874999999999,4061090,REQUEIJAO LIGHT CATUPIRY 200G (24),04/02/2025,
f70866,f242574,50,f7894904268535,15.99,10.365,16010000,PEITO FRANGO DEF FAT SEARA 150G(24),04/02/2025,
