cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f0000504,f3753,30,f7892840800000,8.5,6.465416666633334,22021000,PEPSI COLA PET 2L CAIXA C/6,02/27/2026,
f0000504 - FD,f3820233,50,f7892840800246,116.5,77.5849999996,22021000,PEPSI COLA PET 2L CAIXA C/6,02/27/2026,
f0018152,f3754,50,f7891991014908,2.5,1.3416666666333332,22021000,GUARANA CHP ANTARCTICA PET 200ML SH C/12,03/13/2026,
f0018152 - FD,f28620235,50,f7891991014915,24.2,16.099999999599998,22021000,GUARANA CHP ANTARCTICA PET 200ML SH C/12,03/13/2026,
f0002349,f173916,50,f7891991001342,12.2,7.2083333333,22021000,GUARANA CHP ANTARCTICA PET 2L CAIXA C/6,03/13/2026,
f0002349 - FD,f1516,50,f7891991003148,72.2,43.2499999998,22021000,GUARANA CHP ANTARCTICA PET 2L CAIXA C/6,03/13/2026,
f0008919,f1434,50,f7891991002646,5.5,3.4825000000333333,22021000,GUARANA CHP ANTARCTICA PET 600ML CX12 NPAL,03/13/2026,
f0008919 - FD,f3820234,50,f7891991002967,64.99,41.7900000004,22021000,GUARANA CHP ANTARCTICA PET 600ML CX12 NPAL,03/13/2026,
f0018266,f6804,50,f7892840800567,2.5,1.4900000000000002,22021000,PEPSI COLA PET 200ML SH C/12,02/27/2026,
f0018266 - FD,f28620236,50,f7892840800574,26.99,17.880000000000003,22021000,PEPSI COLA PET 200ML SH C/12,02/27/2026,
f0002585,f3751,20,f7891991010542,4.2,3.382037037081482,22021000,GUARANA CHP ANTARCTICA GFA VD 1L,08/30/2024,
f0008923,f10093,50,f7892840800239,5.5,3.589999999966667,22021000,PEPSI COLA PET 600ML CX12 NPAL,02/27/2026,
f0008923 - FD,f19202380,50,f7892840800260,64.5,43.079999999600005,22021000,PEPSI COLA PET 600ML CX12 NPAL,02/27/2026,
f0013017,f1920237,50,f7896468700377,0.99,0.5825,22011000,AGUA M F DA ILHA C/G PET 300 ML CAIXA C/ 12,9/1/2023,
f0013017 - FD,f19202332,50,f7896468700452,10.5,6.99,22011000,AGUA M F DA ILHA C/G PET 300 ML CAIXA C/ 12,9/1/2023,
f0019227,f2101225,50,f9002490209346,13.5,8.85,22029900,RED BULL BR LATA 355ML FOUR PACK .,9/15/2023,
f0019227 - FD,f159202376,50,f9002490225100,53.2,35.4,22029900,RED BULL BR LATA 355ML FOUR PACK .,9/15/2023,
f0018266 - FD,f28620236,50,f7892840800574,26.99,17.880000000000003,22021000,PEPSI COLA PET 200ML SH C/12,02/27/2026,
