cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f2761,f49202365,50,f7896004008790,1.2,0.7326,21069010,TRINK SUCO DE GUARANA PARATI 15X15GR,12/31/2025,15.0
f2826,f49202396,50,f8896041008806,1.2,0.7433333333333334,21069010,TRINK SUCO DE LAR/ACEROLA PARATI 15X15GR,9/4/2023,15.0
f2833,f30620231,50,f7896004008714,1.2,0.7260666666666666,21069010,TRINK SUCO DE LARANJA BAHIA PARATI 15X15GR,03/19/2026,15.0
f2758,f30620232,50,f7896004008660,1.2,0.7260666666666666,21069010,TRINK SUCO DE LARANJA PARATI 15X15GR,03/19/2026,15.0
f2756,f49202370,50,f7896004008691,1.2,0.7260666666666666,21069010,TRINK SUCO DE LIMAO PARATI 15X15GR,02/26/2026,15.0
f2831,f49202330,50,f7896004008721,1.2,0.7260666666666666,21069010,TRINK SUCO DE LIMONADA SUICA PARATI 15X15GR,02/26/2026,15.0
f2762,f30620233,50,f7896004008745,1.2,0.7253333333333334,21069010,TRINK SUCO DE MANGA PARATI 15X15GR,03/19/2026,15.0
f2760,f30620234,50,f7896004008684,1.2,0.7260666666666666,21069010,TRINK SUCO DE MARACUJA PARATI 15X15GR,03/19/2026,15.0
f2759,f30620235,50,f7896004008820,1.2,0.7326,21069010,TRINK SUCO DE MORANGO 15X15GR,12/31/2025,15.0
f2839,f49202349,50,f7896004008738,1.2,0.7326,21069010,TRINK SUCO DE TANGERINA PARATI 15X15GR,12/31/2025,15.0
f2591,f30620236,50,f7896004008837,1.2,0.7260666666666666,21069010,TRINK SUCO DE UVA PARATI 15X15GR,03/19/2026,15.0
f3065,f2512473,50,f7896004008998,13.2,8.79,19059090,BATATA PRINGLES CHEDDAR E BACON PARATI 18X105GR,1/25/2024,
f2898,f2512439,50,f7896004006406,13.2,8.79,19059090,BATATA PRINGLES CHURRASCO PARATI 18X109GR,1/25/2024,
f2666,f2512478,50,f7896004006239,13.5,8.98,19059090,BATATA PRINGLES CREME E CEBOLA PARATI 18X109GR,1/25/2024,
f2665,f2512460,50,f7896004006277,13.5,9.33,19059090,BATATA PRINGLES ORIGINAL PARATI 18X104GR,03/27/2025,
f2704,f2512496,50,f7896004006284,13.2,8.79,19059090,BATATA PRINGLES QUEIJO PARATI 18X114GR,1/25/2024,
f362,f72343,50,f7896363400013,15.5,8.79,11022000,FARINHA DE MILHO CAMPO LARGO BRANCA 10X1KG,07/03/2025,
f3119,f0407241,50,f7898996231101,10.99,7.199,19019090,FAROFA SOBRADINHO TRADICIONAL 12X250GR,11/06/2025,
f2592,f2711232,50,f7896004008844,1.2,0.7326,21069010,TRINK SUCO DE ABACAXI PARATI 15X15GR,12/31/2025,15.0
f2838,f49202389,50,f7896004008707,1.2,0.7260666666666666,21069010,TRINK SUCO DE ABACAXI/HORT PARATI 15X15GR,02/26/2026,15.0
f3120,f2732542,50,f7898996231118,17.99,11.439,19019090,FAROFA SOBRADINHO TRADICIONAL 12X500GR,11/06/2025,
f2312,f165251,50,f7898960419412,11.99,8.145,22072019,ALCOOL 92% SUPER VALE 12X1LT,02/26/2026,
f3196,f2952512,50,f7898996231125,12.5,8.28,19019090,FAROFA SOBRADINHO BACON 12X250GR,05/29/2025,
f3197,f2952596,50,f7898996231149,15.99,10.396,19019090,FAROFA SOBRADINHO PICANHA 12X250GR,05/29/2025,
f2311,f2107221,50,f7898960419443,11.5,7.516,22072019,ALCOOL 70% SUPER VALE 12X1LT,03/19/2026,
f399,f3161,50,f7896363400037,11.99,6.91,11022000,FUBA CAMPO LARGO BRANCO 10X1KG,07/03/2025,
f3328,f6112514,50,f7896004011738,1.2,0.7777333333333334,21069010,TRINK MATE C/LIMAO PARATI CX10 DIS 15X15GR,11/06/2025,15.0
f3329,f2711232,50,f7896004008844,1.2,0.7260000000000001,21069010,TRINK PINA COLADA PARATI CX10 DIS 15X15GR,02/26/2026,15.0
