cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,Unnamed: 7,date_of_last_update,nfe_name,sub_itens_quantity
f3425976,f2372579,50,f7898902299768,7.99,5.1483333333,18069000,,07/23/2025,..COBERTURA CHOCOLATE STELLA DORO 200G,
f3425975,f2372551,50,f7898902299751,6.2,4.135,21069090,,07/23/2025,..COBERTURA MORANGO STELLA DORO 200G,
f3101691,f105125,50,f7896001016910,24.99,16.99125,96039000,,07/23/2025,..VASSOURA NOVICA CANTOS CERTA C/ CABO,
f1901310,f3469,50,f7891104393104,4.99,3.315,21069090,,07/23/2025,ADOCANTE ADOCYL SACARINA LIQ 100ML,
f1901310 - FD,f2372540,50,f17891104393101,59.99,39.78,21069090,,07/23/2025,ADOCANTE ADOCYL SACARINA LIQ 100ML,
f1901306,f2372593,50,f7891104393067,8.99,5.8875,21069090,,07/23/2025,ADOCANTE ADOCYL SACARINA LIQ 200ML,
f1901306 - FD,f2372572,50,f17891104393064,105.99,70.65,21069090,,07/23/2025,ADOCANTE ADOCYL SACARINA LIQ 200ML,
f1911095,f2372561,50,f7896094910959,13.5,8.9783333333,21069090,,07/23/2025,ADOCANTE ZERO CAL SACARINA LIQ 200ML,
f1911095 - FD,f237258,50,f17896094910956,161.99,107.7399999996,21069090,,07/23/2025,ADOCANTE ZERO CAL SACARINA LIQ 200ML,
f650336,f1672,50,f7891962042725,2.9,1.5003333333333333,19052090,,10/01/2025,PAO DE MEL BAUDUCCO DSP 15X30G,15.0
f680650,f3011202395,50,f7891962056500,9.5,6.19,19053100,,11/14/2025,BAUDUCCO CHOCOBISCUIT AO LEITE 80G,
f680667,f120603,50,f7891962056678,9.5,6.19,19053100,,11/14/2025,BAUDUCCO CHOCOBISCUIT MEIO AMARGO 80G,
f836133,f1377,50,f7891962051338,7.8,4.99,19059010,,08/10/2025,PAO DE FORMA VISCONTI TRADICIONAL CXA 10X400G,
f650381,f120602,50,f7891962073811,9.9,6.5883333333,19052090,,08/10/2025,PAO DE MEL BAUDUCCO 180G,
f612548,f120604,50,f7891962075488,2.5,1.6354166666666667,19053200,,11/14/2025,WAFER SNACK BAUDUCCO DSP 24X20G,24.0
