cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f68854634,f72927,50,f7891150086432,17.5,10.92,34025000,BRILHANTE DT PO LIMPEZA T 800G.,7/26/2023,
f68247661,f72201,50,f7891150072138,19.5,12.82,38089419,OMO SN PO LAV PERF HIG SANI CART 800G.,7/26/2023,
f84172492,f4333,50,f7891150027800,14.99,9.73,21039011,HELLMANNS MAIONESE GOLDEN SQZ 24X335G.,7/26/2023,
f68864435,f0807223,50,f7891150086777,13.2,8.76,34025000,SURF DT PO ROSAS E FLOR DE LIS 800G.,8/23/2023,
f68854613,f149202310,50,f7891150086401,21.5,14.19,34025000,BRILHANTE DT PO L T CT 1.6KG L1.6P1.450.,9/14/2023,
f68722381,f149202336,50,f7891150083707,7.2,4.75,21039021,KNORR TEMP MEU ASSADO CAIPIRA 15X23G.,9/14/2023,
f68864438,f72939,50,f7891150086807,13.5,8.94,34025000,SURF DT PO LIMAO E BICARBONATO 800G.,9/14/2023,
f67791061,f1103211,50,f7891150065284,12.99,8.22,34025000,OMO DT PO LAV PER CAR 24X400G.,9/14/2023,
f68633044,f159202345,50,f7891150081147,25.2,16.72,34025000,OMO DT PO L P CART 1.6KG+LV1.6 PG1.450.,9/15/2023,
f84157360,f4605,50,f78923454,15.5,10.14,33072010,REXONA DEO ROL V8 12X50ML 50ML.,10/6/2023,
f67765379,f72171,50,f7891150064928,20.2,13.38,34025000,LAVA-ROUPAS LIQUIDO OMO LAVAGEM PERFEITA REFIL ECONOMIC.,10/16/2023,
f67878702,f2911213,50,f7891150066519,16.5,9.78,34025000,BRILHANTE DT LIQ LIMP TOT 900ML NE U.,10/16/2023,
f84168889,f2819,50,f7891150048492,15.5,8.85,38099190,COMFORT AMAC INT C E500ML+500MLX400ML 400ML.,10/16/2023,
f67733593,f72287,50,f7891150064317,22.15,13.04,34025000,OMO DT PO LV PER CAR 20X800G.,10/16/2023,
