cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f2,f1038,50.0,fSEM GTIN,20.99,13.9,16010000,SALSICHAO ESPECIAL -,10/30/2025,
f4,f1002,50.0,fSEM GTIN,30.2,20.0,16010000,LING TC -,10/30/2025,
f7,f7677,50.0,fSEM GTIN,22.5,14.9,16010000,LINGUICA TOSCANA ARTESNAL -,10/30/2025,
f38,f1034,60.0,fSEM GTIN,8.2,4.9,2031900,SUAN -,10/16/2025,
f27,f1040,50.0,fSEM GTIN,25.35,16.9,2031900,TOUCINHO -,10/16/2025,
f23,f3068,50.0,fSEM GTIN,25.76,16.5,2031900,PALETA -,10/30/2025,
f5,f1002,50.0,fSEM GTIN,30.2,20.0,16010000,LING TC ESPECIAL -,10/16/2025,
f28,f10145,60.0,f7898335583809,14.5,8.9,2031900,PE SUINO -,10/30/2025,
f30,f1067,60.0,f7898335583816,31.2,19.5,2031900,RABO -,02/14/2025,
f21,f1043,50.0,fSEM GTIN,33.99,23.2,2031900,COSTELA -,09/01/2025,
f26,f3102517,50.0,f7890000020046,22.2,14.8,16010000,CARCACA SUINA -,10/03/2025,
