cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f1003,f08122216,50,f7891151034944,5.2,3.39,17049020,BALA GELATINA GO JELLY CHAVES 70G,7/7/2023,
f2287,f0604231,50,f7891151041584,5.2,3.39,17049020,BALA GELATINA GO JELLY LULUCA SORTIDO 70G,7/7/2023,
f2299,f08122214,50,f7891151041928,5.2,3.39,17049020,BALA GELATINA GO JELLY NARUTO SORTIDO 70G,7/7/2023,
f946,f08122220,50,f7891151039697,1.2,0.6658333333333334,17049020,DROPS FREEGELLS PLAY AZEDINHO MORANGO DP/12,7/7/2023,12.0
f947,f08122225,50,f7891151039710,1.2,0.6658333333333334,17049020,DROPS FREEGELLS PLAY AZEDINHO UVA DP/12,7/7/2023,12.0
f1070,f08122227,50,f7891151039734,1.2,0.6658333333333334,17049020,DROPS FREEGELLS PLAY CEREJA DP/12,7/7/2023,12.0
f1062,f1002231,50,f7891151039659,1.2,0.6658333333333334,17049020,DROPS FREEGELLS PLAY CREAM MORANGO DP/12,7/7/2023,12.0
f1065,f1002232,50,f7891151039758,1.2,0.6658333333333334,17049020,DROPS FREEGELLS PLAY EUCALIPTO DP/12,7/7/2023,12.0
f1071,f08122226,50,f7891151039819,1.2,0.6658333333333334,17049020,DROPS FREEGELLS PLAY MORANGO DP/12,7/7/2023,12.0
f1692,f08122221,50,f7891151039895,1.2,0.6658333333333334,17049020,DROPS FREEGELLS PLAY PROPOLIS MEL LIMAO DP/12,7/7/2023,12.0
f15,f0209222,50,f7897079066111,6.5,4.29,85392190,LAMP TASCHIBRA HALOGENA A55 / 100W 127V 2700K,7/7/2023,
f24,f1609221,50,f7897079065589,8.99,5.45,85395200,LAMPADA TASCHIBRA LED TKL 60 / 9W 6500K,7/7/2023,
f1066,f08122222,50,f7891151039772,1.2,0.6991666666666667,17049020,DROPS FREEGELLS PLAY EXTRA FORTE DP/12,8/11/2023,12.0
f928,f11820230,50,f7891151039635,1.2,0.6991666666666667,17049020,DROPS FREEGELLS PLAY FRESH MELAO DP/12,8/11/2023,12.0
f1067,f1002233,50,f7891151039796,1.2,0.6991666666666667,17049020,DROPS FREEGELLS PLAY MENTA DP/12,8/11/2023,12.0
f930,f11820231,50,f7891151039505,1.2,0.6991666666666667,17049020,DROPS FREEGELLS PLAY MORANGO CHOCOLATE DP/12,8/11/2023,12.0
f14,f0912225,50,f7897079064711,5.99,3.99,85392190,LAMP TASCHIBRA HALOGENA A55 / 70W 127V 2700K,8/11/2023,
f216,f3425,50,f041333001074,10.5,6.98,85061019,PILHA DURACELL PALITO AAA C/2,8/11/2023,
f211,f72251,50,f041333001005,10.5,6.98,85061019,PILHA DURACELL PEQUENA AA C/2,8/11/2023,
f2479,f0706237,50,f7891175003797,2.99,1.95,39241000,PRATO PLAST AZUL REGINA 15CM C/10,8/11/2023,
f2768,f2989,50,f7896007200344,5.99,3.95,40141000,PRESERVATIVO BLOWTEX MENTA C/3,8/11/2023,
f2765,f2990,50,f7896007200306,5.99,3.95,40141000,PRESERVATIVO BLOWTEX MORANGO C/3,8/11/2023,
f2491,f11820234,50,f7899895724589,6.99,4.49,34060000,VELA CINTILANTE GLITTER AZUL REGINA N.1,8/11/2023,
f2524,f11820235,50,f7899895724473,6.99,4.49,34060000,VELA CINTILANTE GLITTER PINK REGINA N.1,8/11/2023,
f2399,f11820236,50,f7891175031530,3.99,2.45,34060000,VELA ESTRELA DE PRATA REGINA C/4,8/11/2023,
f2797,f149202385,50,f7891151042376,5.2,3.39,17049020,BALA GELATINA GO JELLY LADYBUG SORTIDO 70G,9/14/2023,
f1151,f149202393,50,f7891151017275,11.99,7.69,17041000,CHICLE BUZZY BARBIE TATTOO HORTELA C/100,9/14/2023,
f1150,f149202355,50,f7891151017268,11.99,7.69,17041000,CHICLE BUZZY BARBIE TATTOO TUTTI FRUTTI C/100,9/14/2023,
f2447,f1209212,50,f7891175454346,8.99,5.95,48195000,FORMINHA CUPCAKE MARROM GOURMET REGINA C/45,9/14/2023,
f2470,f1209233,50,f7891175460798,8.2,5.35,48195000,FORMINHA CUPCAKE ROSA BEBE REGINA C/45,9/14/2023,
f2477,f1209234,50,f7891175003803,2.99,1.95,39241000,PRATO PLAST BRANCO REGINA 15CM C/10,9/14/2023,
f2489,f2305234,50,f7899895724671,6.99,4.49,34060000,VELA CINTILANTE GLITTER AZUL REGINA N.?,9/14/2023,
f2522,f2305236,50,f7899895724565,6.99,4.49,34060000,VELA CINTILANTE GLITTER PINK REGINA N.?,9/14/2023,
