cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f2257,f1072428,50,7896863499876,14.99,9.95,11041200,AVEIA FLOCOS FINOS S/ GLUTEN 170G VITAO,7/10/2024,
f1004,f1072450,50,7891151041102,5.99,3.85,17049020,BALA GELATINA GO JELLY DENTADURA 70G,7/10/2024,
f2299,f08122214,50,7891151041928,5.99,3.85,17049020,BALA GELATINA GO JELLY NARUTO SORTIDO 70G,7/10/2024,
f2474,f1072476,50,7891175198172,8.99,5.95,39241000,COPO PLAST AZUL REGINA 200ML C/50,7/10/2024,
f2475,f1072465,50,7891175198196,8.99,5.95,39241000,COPO PLAST ROSA REGINA 200ML C/50,7/10/2024,
f946,f08122220,50,7891151039697,1.5,0.8125,17049020,DROPS FREEGELLS PLAY AZEDINHO MORANGO DP/12,7/10/2024,12.0
f947,f08122225,50,7891151039710,1.5,0.8125,17049020,DROPS FREEGELLS PLAY AZEDINHO UVA DP/12,7/10/2024,12.0
f927,f1072425,50,7891151039550,1.5,0.8125,17049020,DROPS FREEGELLS PLAY CEREJA CHOCOLATE DP/12,7/10/2024,12.0
f1070,f08122227,50,7891151039734,1.5,0.8125,17049020,DROPS FREEGELLS PLAY CEREJA DP/12,7/10/2024,12.0
f928,f11820230,50,7891151039635,1.5,0.8125,17049020,DROPS FREEGELLS PLAY FRESH MELAO DP/12,7/10/2024,12.0
f1071,f08122226,50,7891151039819,1.5,0.8125,17049020,DROPS FREEGELLS PLAY MORANGO DP/12,7/10/2024,12.0
f1692,f08122221,50,7891151039895,1.5,0.8125,17049020,DROPS FREEGELLS PLAY PROPOLIS MEL LIMAO DP/12,7/10/2024,12.0
f1574,f08122228,50,7891151039673,1.5,0.8125,17049020,DROPS FREEGELLS PLAY VIT C FRUTAS CITRICAS DP/12,7/10/2024,12.0
f1069,f1409223,50,7897079085068,7.99,4.45,85395200,LAMPADA TASCHIBRA LED TKL 80 / 12W 6500K,7/10/2024,
f3084,f63242,50,7898970162391,4.5,2.95,17049020,OLHOS FAMINTOS RECHEADOS 12G,7/10/2024,
f2493,f911202340,50,7899895724602,7.99,5.25,34060000,VELA CINTILANTE GLITTER AZUL REGINA N.3,7/10/2024,
f2494,f0706231,50,7899895724619,7.99,5.25,34060000,VELA CINTILANTE GLITTER AZUL REGINA N.4,7/10/2024,
f2489,f2305234,50,7899895724671,7.99,5.25,34060000,VELA CINTILANTE GLITTER AZUL REGINA N.?,7/10/2024,
f2526,f911202311,50,7899895724497,7.99,5.25,34060000,VELA CINTILANTE GLITTER PINK REGINA N.3,7/10/2024,
f2522,f2305236,50,7899895724565,7.99,5.25,34060000,VELA CINTILANTE GLITTER PINK REGINA N.?,7/10/2024,
f2399,f11820236,50,7891175031530,4.5,2.95,34060000,VELA ESTRELA DE PRATA REGINA C/4,7/10/2024,
