cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f1575,f1412584,50,f7891151041010,5.99,3.45,17049020,BALA GELATINA GO JELLY BANANA 70G,05/07/2025,
f1004,f1072450,50,f7891151041102,5.99,3.45,17049020,BALA GELATINA GO JELLY DENTADURA 70G,02/10/2026,
f1009,f08122215,50,f7891151039246,5.99,3.45,17049020,BALA GELATINA GO JELLY JURASSIC WORLD 70G,07/09/2025,
f2797,f149202385,50,f7891151042376,5.99,3.89,17049020,BALA GELATINA GO JELLY LADYBUG SORTIDO 70G,01/14/2025,
f946,f08122220,50,f7891151039697,1.5,0.9083333333333332,17049020,DROPS FREEGELLS PLAY AZEDINHO MORANGO DP/12,02/10/2026,12.0
f947,f08122225,50,f7891151039710,1.5,0.9083333333333332,17049020,DROPS FREEGELLS PLAY AZEDINHO UVA DP/12,02/10/2026,12.0
f1070,f08122227,50,f7891151039734,1.5,0.88,17049020,DROPS FREEGELLS PLAY CEREJA DP/12,03/07/2025,12.0
f1062,f1002231,50,f7891151039659,1.5,0.9083333333333332,17049020,DROPS FREEGELLS PLAY CREAM MORANGO DP/12,02/10/2026,12.0
f1066,f08122222,50,f7891151039772,1.5,0.91,17049020,DROPS FREEGELLS PLAY EXTRA FORTE DP/12,03/11/2026,12.0
f1067,f1002233,50,f7891151039796,1.5,0.9083333333333332,17049020,DROPS FREEGELLS PLAY MENTA DP/12,02/10/2026,12.0
f1071,f08122226,50,f7891151039819,1.5,0.9083333333333332,17049020,DROPS FREEGELLS PLAY MORANGO DP/12,01/09/2026,12.0
f3084,f63242,50,f7898970162391,5.99,3.75,17049020,OLHOS FAMINTOS RECHEADOS 12G,03/07/2025,
f2835,f6122473,50,f7891175475556,2.99,1.95,34060000,VELA PALITO AZUL REGINA C/10,03/07/2025,
f2830,f6122498,50,f7891175475563,2.99,1.95,34060000,VELA PALITO ROSA REGINA C/10,01/14/2025,
f2474,f1072476,50,f7891175198172,10.99,7.1,39241000,COPO PLAST AZUL REGINA 200ML C/50,02/03/2025,
f928,f11820230,50,f7891151039635,1.5,0.91,17049020,DROPS FREEGELLS PLAY FRESH MELAO DP/12,03/11/2026,12.0
f1692,f08122221,50,f7891151039895,1.5,0.915,17049020,DROPS FREEGELLS PLAY PROPOLIS MEL LIMAO DP/12,05/22/2026,12.0
f1574,f08122228,50,f7891151039673,1.5,0.915,17049020,DROPS FREEGELLS PLAY VIT C FRUTAS CITRICAS DP/12,05/22/2026,12.0
f2479,f0706237,50,f7891175003797,4.15,2.45,39241000,PRATO PLAST AZUL REGINA 15CM C/10,02/03/2025,
f2480,f0706239,50,f7891175003827,4.15,2.45,39241000,PRATO PLAST ROSA REGINA 15CM C/10,07/07/2025,
f927,f1072425,50,f7891151039550,1.5,0.91,17049020,DROPS FREEGELLS PLAY CEREJA CHOCOLATE DP/12,03/11/2026,12.0
f2399,f11820236,50,f7891175031530,5.99,3.95,34060000,VELA ESTRELA DE PRATA REGINA C/4,07/07/2025,
f2889,f732573,50,f7891175483483,10.99,7.25,34060000,VELA REGINA SUPER ESTELAR PRATA,03/07/2025,
f2477,f1209234,50,f7891175003803,3.99,2.45,39241000,PRATO PLAST BRANCO REGINA 15CM C/10,05/07/2025,
f2489,f2305234,50,f7899895724671,8.99,5.95,34060000,VELA CINTILANTE GLITTER AZUL REGINA N.?,05/07/2025,
f2523,f06032320,50,f7899895724466,8.99,5.95,34060000,VELA CINTILANTE GLITTER PINK REGINA N.0,05/07/2025,
f2524,f11820235,50,f7899895724473,8.99,5.95,34060000,VELA CINTILANTE GLITTER PINK REGINA N.1,05/07/2025,
f994,f772537,50,f7891151041003,4.5,2.99,17049020,BALA GELATINA GO JELLY AMORA 70G,12/09/2025,
f3268,f6122439,50,f7891151043328,5.2,3.45,17049020,BALA GELATINA GO JELLY MINIONS BANANA 70G,02/10/2026,
f1762,f09122226,50,f7891151041096,4.5,2.99,17049020,BALA GELATINA GO JELLY PATRULHA CANINA 70G,05/22/2026,
f2486,f772552,50,f7891175415347,6.99,4.5,39241000,COLHER PLAST SOBREMESA BRANCA REGINA C/25,07/07/2025,
f1065,f772512,50,f7891151039765,16.5,10.9,17049020,DROPS FREEGELLS PLAY EUCALIPTO DP/12,02/10/2026,
f2483,f00016,50,f7891175415163,7.3,4.5,39241000,GARFO PLAST SOBREMESA AZUL REGINA C/25,07/07/2025,
f3746,f3112579,50,f7896637602662,34.5,22.95,85444200,"CABO USB-C 1,2M BRANCO 3A INTELBRAS",11/03/2025,
f3734,f311254,50,f7896637681483,49.5,32.95,85044021,CARREGADOR USB RAPIDO 12W BIVOLT INTELBRAS,02/10/2026,
f2287,f0604231,50,f7891151041584,4.5,2.99,17049020,BALA GELATINA GO JELLY LULUCA SORTIDO 70G,03/11/2026,
f930,f11820231,50,f7891151039505,1.5,0.91,17049020,DROPS FREEGELLS PLAY MORANGO CHOCOLATE DP/12,03/11/2026,12.0
f4332,f9122510,50,f7898962720998,3.99,2.45,20079990,SWEET BITE COCADINHA CHOC BRANCO 14G PINATI,12/09/2025,
f3865,f23122449,50,f7898665680629,3.99,2.45,20079990,SWEET BITE COCADINHA CHOC MEIO AMARGO 14G PINATI,12/09/2025,
f1010,f1011221,50,f7891151040211,4.5,2.99,17049020,BALA GELATINA GO JELLY LUCCAS NETO 70G,05/22/2026,
f929,f912642,50,f7891151039536,1.5,0.9083333333333332,17049020,DROPS FREEGELLS PLAY MENTA CHOCOLATE DP/12,01/09/2026,12.0
f3293,f982493,50,f7891151043571,1.5,0.9083333333333332,17049020,DROPS FREEGELLS PLAY FRUTAS TROPICAIS DP/12,02/10/2026,12.0
f3093,f1132685,50,f7891151042383,4.5,2.99,17049020,BALA GELATINA GO JELLY VELOZES E FURIOSOS 70G,03/11/2026,
f1565,f09122210,50,f7891151040921,5.2,2.99,17049020,BALA GELATINA GO JELLY BEIJINHO DOCE MORANGO 70G,05/22/2026,
f2299,f08122214,50,f7891151041928,4.5,2.99,17049020,BALA GELATINA GO JELLY NARUTO SORTIDO 70G,05/22/2026,
