cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f130851,f1005233,50,f7896036000717,7.5,4.7733,20029000,EXT.T.ELEFANTE POTE,7/18/2023,
f124650,f18720234,50,f7896024760876,3.99,2.629,19053100,BISC.COOKIES PIRAQUE BAUNILHA,03/27/2026,
f122309,f23656,50,f7896022086374,3.5,2.1769,19053100,BISC.TORTINHAS CHOCOLATE,7/18/2023,
f6694,f105,50,f7896036094815,3.99,2.4314,21039011,MAIONESE LIZA TRAD.SACHE,7/18/2023,
f60879,f08306,50,f7896036093085,11.99,6.8988,15179010,AZEITE COMP.MARIA TRAD.LT. (93623),7/18/2023,
f131844,f18720235,50,f7896235354291,19.5,12.8666,33049910,CREME HIDRA.MONANGE OLEO DE MACADAMIA,7/18/2023,
f131845,f18720236,50,f7896235354307,19.5,12.8666,33049910,CREME HIDRA.MONANGE OLEO DE ABACATE,7/18/2023,
f40231,f5772,50,f7896040701112,13.5,8.9076,34052000,CERA LIQ.BRILHO FACIL VERMELHA,7/18/2023,
f122777,f2732676,50,f7896110010731,11.99,7.817777777777778,48181000,P.H.FD PERS VIP 20M NT L12P11 6X12 PVN2 6X12X20MT QTD. 1.00 FD,03/27/2026,
f126847,f161,50,f7896110002248,3.99,2.6167361111444443,96190000,ABS.SYM ABAS C.SUAVE ROSA (ARV08) 3X8UN QTD. 4.00 DP,03/27/2026,
f119285,f4135,50,f7891010973483,5.99,3.4422222221888887,96190000,ABS.S.LIVRE ADAPT SUAVE ABAS L8P7 3X8UN QTD. 1.00 DP,03/27/2026,
f136610,f2732687,50,f7896022087173,1.99,1.317,19023000,MASSA INST.ISABELA ZERO FRIT.GAL.CAIPIRA 10X75G QTD. 1.00 DP,03/27/2026,
f122315,f0709221,50,f7896022086442,3.99,2.44,19053100,BISC.TORTINHAS DUE CHEESE CAKE C\GOIABA 10X140GR QTD. 1.00 DP,03/27/2026,
