cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f65,f93041,50,f7898014855296,3.2,2.05,4039000,FLAN UNIBABY BAUNILHA BANDEJA 180G,03/06/2025,
f145,f2408216,50,f7898014852707,8.5,4.466666666666666,4032000,IOGURTE MAIS FRUTAS UNIBABY MORANGO POTE 500G,06/17/2025,
f135,f0106214,50,f7898014851977,3.2,1.854513888888889,4032000,IOGURTE NATURAL UNIBABY POTE 170G,05/06/2025,
f15387,f2212532,50,f7898014855876,3.2,2.026805555555556,4032000,IOGURTE UNIBABY MORANGO POUCH 90G,01/22/2025,
f102,f1509213,50,f7898014850864,2.2,1.3377083333333335,4039000,LEITE FERMENTADO UNIBABY BAUNILHA GARRAFA 150G,05/06/2025,
f76,f2212536,50,f7898014850871,6.2,3.9627,4039000,LEITE FERMENTADO UNIBABY BAUNILHA GARRAFA 75G COM 6,04/11/2025,
f62,f4432,50,f7898014850512,6.5,4.03,4061090,PETIT SUISSE UNIBABY MORANGO BANDEJA 320G,05/20/2025,
f141,f72747,50,f7898014852752,3.2,1.854305555555556,22029900,BEBIDA LACTEA DIVERTIDO UNIBABY PASTILHAS CONFEITADAS CHOCOLATE POTE 130G,06/04/2025,
f103,f2907213,50,f7898014852813,7.99,5.087222222222222,4039000,LEITE FERMENTADO UNIBABY BAUNILHA GARRAFA 850G,06/17/2025,
f92,f1905215,50,f7898014852370,1.99,1.0234722222222223,22029900,BEBIDA LACTEA UNIBABY MORANGO GARRAFA 150G,06/17/2025,
f96,f1905212,50,f7898014852387,5.5,3.603333333333333,22029900,BEBIDA LACTEA UNIBABY MORANGO GARRAFA 800G,06/17/2025,
f128,f1822540,50,f7898014851809,4.99,2.796736111111111,22029900,BEBIDA LACTEA UNIBABY MORANGO PACOTE 850G,05/06/2025,
f17351,f1822579,50,f7898014856088,8.99,5.75,4032000,IOGURTE GREGO UNIBABY TRADICIONAL POTE 450G,06/04/2025,
f15388,f182259,50,f7898014855883,3.5,2.330833333333333,4032000,IOGURTE UNIBABY SALADA DE FRUTAS POUCH 90G,02/18/2025,
f17352,f2732541,50,f7898014856095,8.99,5.75,4032000,IOGURTE GREGO UNIBABY FLOCOS POTE 450G,06/04/2025,
f2172,f1142563,50,f7898014854671,1.99,1.0234722222222223,22029900,BEBIDA LACTEA UNIBABY ACAI COM MORANGO GARRAFA 150G,05/06/2025,
f6003,f1142594,50,f7898014855555,6.99,4.466666666666666,4032000,IOGURTE MAIS FRUTAS UNIBABY FRUTAS VERMELHAS POTE 400/500G,05/20/2025,
f64,f114256,50,f7898014852776,6.5,4.15,4039000,SOBREMESA PETIZINHO UNIBABY CHOCOLATE BANDEJA 320G,04/11/2025,
f109,f72701,50,f7898014855470,1.99,1.0234722222222223,22029900,BEBIDA LACTEA UNIBABY ACAI COM BANANA GARRAFA 150G,05/20/2025,
f6002,f2052536,50,f7898014855579,7.99,5.093055555555556,4032000,IOGURTE MAIS FRUTAS UNIBABY ABACAXI POTE 400/500G,06/17/2025,
f110,f462533,50,f7898014855289,5.5,3.603333333333333,22029900,BEBIDA LACTEA UNIBABY ACAI COM BANANA GARRAFA 800G,06/17/2025,
f94,f72719,50,f7898014852417,1.99,1.0234722222222223,22029900,BEBIDA LACTEA UNIBABY SALADA DE FRUTAS GARRAFA 150G,06/17/2025,
f95,f0907211,50,f7898014852400,5.5,3.603333333333333,22029900,BEBIDA LACTEA UNIBABY COCO GARRAFA 800G,06/17/2025,
