cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f000000001000072226,f27122333,50,f7798185900040,23.99,15.98,25120000,AREIA GOLDEN BREEZE SANIT EXTR DRY 2KG,07/18/2025,
f000000001000071971,f1862599,50,f7896278169364,29.99,20.62,38249979,"AREIA PET VIDA SILICIA SC 1,5KG",07/18/2025,
f000001000121414001,f2512439,50,f7896004006406,13.5,7.989999999999999,19059090,"BATATA PRINGLES 109G, CHURRASCO, .",07/18/2025,18.0
f000001000121414003,f2512460,50,f7896004006277,13.5,7.989999999999999,19059090,"BATATA PRINGLES 109G, ORIGINAL, .",07/18/2025,18.0
f000000001000033094,f547,50,f7898215151784,3.99,2.79,4015021,CR LTE PIRACANJUBA TP 200G,07/18/2025,27.0
f000000001000034067,f252525,50,f7896256600780,3.99,2.6300000000000003,4015021,CR LTE TIROL TP 200G,07/18/2025,27.0
f000001000046593013,f2315,50,f7896022200381,5.99,3.99,19021900,"MAC GALO SEMOLA 500G, AVE MARIA, .",07/18/2025,20.0
f000000001000126605,f27122465,50,f7898093780069,5.99,3.99,63071000,PANO ITATEX PRATO A 45X75CM BC UN,08/29/2025,12.0
f000000001000012565,f5567,50,f7891109146590,23.99,15.99,64022000,"SAND HAVAIAN TRAD UN, PT, 37/8",07/25/2025,6.0
f000001000049982010,f4661,50,f7891109146606,23.99,15.99,64022000,"SAND HAVAIAN TRAD UN, PT, 39/0",07/25/2025,6.0
f000001000049982011,f5638,50,f7891109146613,23.99,15.99,64022000,"SAND HAVAIAN TRAD UN, PT, 41/2",07/25/2025,6.0
f000001000049982012,f5639,50,f7891109146620,23.99,15.99,64022000,"SAND HAVAIAN TRAD UN, PT, 43/4",07/25/2025,6.0
f000001000049982013,f2307212,50,f7891109890462,23.99,15.89,64022000,"SAND HAVAIAN TRAD UN, PT, 45/6",07/25/2025,6.0
f000000001000056431,f2982558,50,f7896720320213,19.5,12.98,38089192,ANTIPULG MATACURA SH+COND P/GATOS 200ML,08/29/2025,
f000000001000126069,f1310202343,50,f7891360678762,1.5,0.8718,82141000,APONTADOR FABER CASTEL C/50 1UN,08/29/2025,50.0
f000000001000082614,f2982522,50,f7891738683473,1026.5,684.34,72172090,ARAME GERDAU OVALADO 15X17 1000MM UN,08/29/2025,
f000001000048497001,f157,50,f7896089010916,39.99,25.49,9012100,"CAFE CABOCLO 500G, TRAD VAC, .",08/29/2025,20.0
f000001000049210007,f72871,50,f7896098900253,2.99,1.95,34025000,"DET LIQ YPE 500ML, CLEAR, .",08/29/2025,24.0
f000001000049210006,f451,50,f7896098900239,2.99,1.95,34025000,"DET LIQ YPE 500ML, COCO, .",08/29/2025,24.0
f000001000049210003,f443,50,f7896098900208,2.99,1.95,34025000,"DET LIQ YPE 500ML, NEUT, .",08/29/2025,24.0
f000001000049566004,f72476,50,f7898064035587,28.5,18.97,96190000,"FRALDA CREMER DISN PR PCT, G 24UN, .",08/29/2025,
f000001000050001002,f2606,50,f7896020160069,12.99,8.49,33072090,"TALCO BARUEL TENYS PE 100G, CANFORADO, .",08/29/2025,
f000001000050001004,f2330,50,f7896020160052,12.99,8.49,33072090,"TALCO BARUEL TENYS PE 100G, ORIG, .",08/29/2025,
