cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f000000001000072226,f27122333,50,f7798185900040,23.99,16.59,25120000,AREIA GOLDEN BREEZE SANIT EXTR DRY 2KG,10/14/2025,
f000000001000071971,f1862599,50,f7896278169364,29.99,18.59,38249979,"AREIA PET VIDA SILICIA SC 1,5KG",09/08/2025,
f000001000121414004,f2512478,50,f7896004006239,13.5,7.870555555555555,19059090,"BATATA PRINGLES 109G, CREME/CEBOLA, .",10/14/2025,18.0
f000001000121414003,f2512460,50,f7896004006277,13.5,7.870555555555555,19059090,"BATATA PRINGLES 109G, ORIGINAL, .",10/14/2025,18.0
f000000001000068720,f1103211,50,f7891150065284,10.99,7.329999999999999,34025000,SABAO PO OMO LAVAG PERF CX 400GR,09/08/2025,24.0
f000000001000033094,f547,50,f7898215151784,4.35,2.87,4015021,CR LTE PIRACANJUBA TP 200G,09/08/2025,27.0
f000000001000037417,f121456,50,f7896100501829,23.25,15.49,20096100,"SUCO ALIANCA UVA INT 1,5L, TTO, .",09/08/2025,6.0
f000000001000107774,f2109221,50,f7892840819507,13.99,7.95,18069000,"ACHOC PO TODDY PT 370G, ORIGINAL, .",09/18/2025,24.0
f000000001000107711,f1892581,50,f7891150066106,10.5,6.83,11081200,AMIDO MILHO MAIZENA LC 500G PG 380G UN,09/18/2025,10.0
f000000001000051739,f1574,50,f7893500020158,61.2,36.07,10063021,"ARROZ TIO JOAO PCT 5KG, BRANCO, .",09/18/2025,6.0
f000000001000034067,f252525,50,f7896256600780,3.99,2.65,4015021,CR LTE TIROL TP 200G,10/03/2025,27.0
f000001000049279005,f149,50,f7891024195307,10.5,6.87,38089419,"DESINF PINHO SOL 500ML, LEMON, .",09/18/2025,12.0
f000001000106582001,f3102524,50,fSEM GTIN,9.99,6.63,16042010,"ATUM PESCADOR RALADO 140G, OLEO, .",10/03/2025,6.0
f000000001000032012,f1712539,50,f7896117600027,7.99,4.99,11062000,FAR MAND DEUSA BIJU NAT PCT 500G,10/03/2025,20.0
f000001000054633004,f14102550,50,f7500435127264,5.99,3.99,96190000,"ABS ALWAYS BASICO C/8 UN, SECA S/AB, .",10/14/2025,
f000001000054633003,f20122383,50,f7500435127271,5.99,3.99,96190000,"ABS ALWAYS BASICO C/8 UN, SVE S/AB, .",10/14/2025,
f000001000121414001,f2512439,50,f7896004006406,11.99,7.870555555555555,19059090,"BATATA PRINGLES 109G, CHURRASCO, .",10/14/2025,18.0
f000001000121414002,f2512496,50,f7896004006284,13.2,7.870555555555555,19059090,"BATATA PRINGLES 109G, QUEIJO, .",10/14/2025,18.0
