cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f000000001000030785,f303,50.0,f7891022101003,4.99,3.115,73231000,LA DE ACO BOMBRIL ECO 08UN PCT 60G,01/17/2025,8.0
f000000001000030733,f72397,50.0,f7896028014494,4.5,2.59,20098990,LTE COCO MENINA VD 200ML,8/17/2023,24.0
f000001000049982003,f5261,50.0,f7891109146378,22.2,14.74,64022000,"SAND HAVAIAN TRAD UN, AZ, 37/8",8/17/2023,6.0
f000001000049982004,f5263,50.0,f7891109146385,22.2,14.74,64022000,"SAND HAVAIAN TRAD UN, AZ, 39/0",8/17/2023,6.0
f000001000049982005,f5264,50.0,f7891109146392,22.2,14.74,64022000,"SAND HAVAIAN TRAD UN, AZ, 41/2",8/17/2023,6.0
f000001000049982008,f153318,50.0,f7891109146576,22.2,14.74,64022000,"SAND HAVAIAN TRAD UN, PT, 33/4",8/17/2023,6.0
f000000001000012565,f5567,50.0,f7891109146590,23.99,15.898333333333332,64022000,"SAND HAVAIAN TRAD UN, PT, 37/8",04/08/2025,6.0
f000001000049982010,f4661,50.0,f7891109146606,22.2,14.74,64022000,"SAND HAVAIAN TRAD UN, PT, 39/0",8/17/2023,6.0
f000001000048362004,f210202370,50.0,f7891962050089,3.99,2.484888888888889,19053100,"BISC BAUDUCCO RECH, BRIGADEIRO 104G, .",10/2/2023,45.0
f000001000048359001,f72,50.0,f7891962050065,5.2,2.484888888888889,19053100,"BISC BAUDUCCO RECH, GOIAB 112G",10/2/2023,45.0
f000001000048402001,f5176,50.0,f7891962036083,2.2,1.35,19053100,"BISC VISCONTI RECH 125G, CHOC, .",10/2/2023,64.0
f000001000048402002,f5202,50.0,f7891962036090,2.2,1.35,19053100,"BISC VISCONTI RECH 125G, MGO, .",10/2/2023,64.0
f000000001000027849,f210202355,50.0,f7898157441103,61.5,40.83,39231090,CAIXA TERM KNAUF ISOPOR C/ALC 35L UN,10/2/2023,1.0
f000000001000029985,f210202359,50.0,f7896438150201,14.5,9.496111111111112,19052010,PANET FESTTONE FRUTAS CX 400G,10/2/2023,18.0
f000000001000030336,f21020237,50.0,f7896438150300,14.5,9.496111111111112,19052010,PANET FESTTONE GOTAS DE CHOC 400G,10/2/2023,18.0
f000001000049210010,f6948,50.0,f7896098902042,2.99,1.97,34025000,"DET LIQ YPE 500ML, CAPIM LIMAO, .",10/3/2023,24.0
f000001000049210009,f2985,50.0,f7896098900277,2.99,1.97,34025000,"DET LIQ YPE 500ML, CL CARE, .",10/3/2023,24.0
f000001000049210007,f72871,50.0,f7896098900253,2.99,1.97,34025000,"DET LIQ YPE 500ML, CLEAR, .",10/3/2023,24.0
f000001000049210006,f451,50.0,f7896098900239,2.99,1.97,34025000,"DET LIQ YPE 500ML, COCO, .",10/3/2023,24.0
f000001000049210005,f444,50.0,f7896098900222,2.99,1.97,34025000,"DET LIQ YPE 500ML, LIM, .",10/3/2023,24.0
f000001000049210004,f445,50.0,f7896098900215,2.99,1.97,34025000,"DET LIQ YPE 500ML, MAC, .",10/3/2023,24.0
f000001000049210003,f443,50.0,f7896098900208,2.99,1.97,34025000,"DET LIQ YPE 500ML, NEUT, .",10/3/2023,24.0
f000001000048500005,f3582,40.0,f7896019112116,16.5,12.49,9012100,"CAFE DAMASCO 500G, CLASSIC VAC, .",10/10/2023,20.0
f000001000048497001,f157,40.0,f7896089010916,33.5,25.57,9012100,"CAFE CABOCLO 500G, TRAD VAC, .",02/16/2025,20.0
f000000001000033284,f114928,50.0,f7898080640222,3.5,2.19,4015021,CR LTE ITALAC TP 200G,10/10/2023,24.0
f000000001000073806,f72236,50.0,f7896102500608,5.99,2.99,20058000,"MILHO VERDE QUERO, LT 170G, .",10/10/2023,24.0
f000000001000108104,f1110202346,50.0,f7898320110508,10.2,6.745,17011400,ACUCAR CAMPONESES MASCAVO ORG PCT 1KG,10/11/2023,10.0
f000000001000108164,f1110202375,50.0,f7898320110102,6.2,4.046666666666667,17011400,ACUCAR CAMPONESES MASCAVO ORG PCT 500G,10/11/2023,15.0
f000001000121776001,f1005233,50.0,f7896036000717,9.99,5.87,20029000,"EXT TOMATE ELEFANTE PT 300G, TRAD, .",06/09/2025,24.0
f000000001000035793,f4333,50.0,f7891150027800,14.99,9.123333333333331,21039011,MAIONESE HELLMANNS SQZ 335G,10/11/2023,24.0
f000001000050035001,f359,50.0,f7898422746759,6.5,3.89,34011190,"SAB DOVE 90G, BRANCO, .",10/11/2023,12.0
f000000001000121074,f7103,50.0,f7891150055070,4.2,2.69,11081200,AMIDO MILHO MAIZENA L200P150G,10/26/2023,10.0
f000001000069975002,f2610202344,50.0,f7896009301148,13.99,9.205,16041410,"ATUM COQUEIRO SOLIDO 170G, NATURAL, .",10/26/2023,6.0
f000001000089637002,f72588,40.0,f7896045102396,16.99,11.19,9012100,"CAFE 3 CORACOES 500G, TORR/MOID EXT F, .",10/26/2023,20.0
f000000001000037261,f2610202398,50.0,f7898080641694,17.5,11.59,4022110,LTE PO ITALAC INT/INST PCT 400G,10/26/2023,25.0
f000001000056788006,f6944,50.0,f7891150059849,3.5,1.99,34011190,"SAB LUX 85G, BUQUE DE JASM, .",03/14/2025,12.0
f000001000056788009,f72571,50.0,f7891150069602,3.5,2.17,34011190,"SAB LUX 85G, CAP LIM/FRANGIP, .",10/26/2023,12.0
f000001000056788001,f72115,50.0,f7891150059924,3.5,1.99,34011190,"SAB LUX 85G, FLOR DE LOTUS, .",03/14/2025,12.0
