cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f923-0,f7604,50,f7898086770657,20.7,13.8,16010000,LING. SUINA PARA CHURRASCO,04/10/2026,
f254-0,f1042668,50,f7898086770312,24.99,16.44,16010000,MORTAD. CELOFANE PEQUENA (VACUO),04/10/2026,
f127-0,f1038,50,f7898086770732,20.99,13.18,16010000,SALSICHAO PELE (VACUO MINI),04/28/2026,
f584-0,f1042625,50,f7898086770558,21.5,14.25,2101900,KIT FEIJOADA DEFUMADO SERENO 500G,05/25/2026,2.0
f1489-0,f1075,50,f7898086771531,44.99,30.29,2032900,PANCETA SUINA TEMPERADA,04/28/2026,
f552-0,f104267,50,fSEM GTIN,10.99,7.45,2101900,TORRESMO (PACOTE 500 G),05/25/2026,2.0
f1930-0,f1042682,50,f7898086771807,18.99,12.6,16010000,SALSICHA VINAGRETE POTE 400G SERENO (UN),05/25/2026,
f110-0,f1002,50,f7898086770091,37.5,24.9,16010000,LING. TC PURA,04/28/2026,
f12-0,f1038,50,f7898086770046,20.99,12.18,16010000,SALSICHAO PELE,04/28/2026,
f247-0,f1045,50,fSEM GTIN,63.0,39.57,2101900,BACON SERENO (VACUO MINI),05/25/2026,
f20-0,f10145,50,f7898086770770,29.95,19.94,16010000,EMBUTIDO DE PELE E MIUDO SUINO SERENO (MORCELA BRANCA),05/25/2026,
f1284-0,f1811,50,fSEM GTIN,22.5,14.97,2101900,MASCARA SUINA DEFUMADA (MINI),05/25/2026,
