cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f0001,f761,50,f7896549401117,16.5,10.805625,21050010,POTE 1 LITRO - FLOCOS,11/5/2023,
f0002,f1869,50,f7896549400011,16.5,10.805625,21050010,POTE 1 LITRO - MORANGO,11/5/2023,
f0003,f100759,50,f7896549401018,16.5,10.805625,21050010,POTE 1 LITRO - CHOCOLATE,11/5/2023,
f0005,f2386,50,f7896549401551,16.5,10.805625,21050010,POTE 1 LITRO - CREME,11/5/2023,
f0006,f1868,50,f7896549401315,16.5,10.805625,21050010,POTE 1 LITRO - CROCANTE,11/5/2023,
f0007,f754,50,f7896549401414,16.5,10.805625,21050010,POTE 1 LITRO - ABACAXI,11/5/2023,
f0009,f757,50,f7896549401520,16.5,10.805625,21050010,POTE 1 LITRO - PASSAS AO RUM,11/5/2023,
f0010,f24820237,50,fgenerico,35.99,10.805625,21050010,POTE 1 LITRO - YOGURTE C/ AMORA,11/5/2023,
f0011,f762,50,f7896549401599,16.5,10.805625,21050010,POTE 1 LITRO - NAPOLITANO,11/5/2023,
f0123,f511202361,50,f7896549400110,28.5,19.90083333333333,21050010,POTE 2 LTS CLASSICOS - NAP. TROPICAL,11/5/2023,
f0101,f1832,50,f7896549400028,28.5,18.83520833333333,21050010,POTE 2 LTS CLASSICOS - NAPOLITANO,11/5/2023,
f0102,f112604,50,f7896549400073,28.5,18.83520833333333,21050010,POTE 2 LTS CLASSICOS - FLOCOS,11/5/2023,
f0122,f511202317,50,f7896549400127,28.5,19.90083333333333,21050010,POTE 2 LTS CLASSICOS - CHOC. SUICO,11/5/2023,
f0104,f4073,50,f7896549400066,30.5,20.288055555555555,21050010,POTE 2 LTS ESPECIAIS - SENSACAO,11/5/2023,
f0120,f72789,50,f7896549400080,28.5,18.870555555555555,21050010,POTE 2 LTS BIG SUNDAE - MORANGO,11/5/2023,
f0131,f112504,50,f7896549400530,30.5,20.288055555555555,21050010,"POTE 1,5 LTS SPECIALITA - CREME DE VALSA",11/5/2023,
f0132,f112404,50,f7896549400547,30.5,20.288055555555555,21050010,"POTE 1,5 LTS SPECIALITA - LEITINHO TRUFADO",11/5/2023,
f0133,f1411211,50,f7896549400578,30.5,20.288055555555555,21050010,"POTE 1,5 LTS SPECIALITA - TORTA ALEMA",11/5/2023,
f0134,f1411212,50,f7896549400561,30.5,20.288055555555555,21050010,"POTE 1,5 LTS SPECIALITA - TRIO CHOCOLATE",11/5/2023,
f0464,f51120238,50,f7896549407027,3.0,2.25,21050010,CX LAPIS CHOCOLATE - 36 UN,11/5/2023,36.0
f0465,f511202397,50,f7896549407010,3.0,2.25,21050010,CX LAPIS GROSELHA - 36 UN,11/5/2023,36.0
f0466,f511202336,50,f7896549407003,3.0,2.25,21050010,CX LAPIS TUTTI FRUTI - 36 UN,11/5/2023,36.0
f0608,f131625,50,f7896549408352,10.5,6.608333333333334,21050010,CX PALETA MEX IOGURTE / AMORA - 12 UN,11/5/2023,12.0
