cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f000000000000063229,f0105232,50,f7891203063229,2.99,1.82,19053100,BiscoitoRechTrufado 140,10/30/2025,
f000000000000063243,f0105231,50,f7891203063243,2.99,1.82,19053100,BiscoitoRechChocolate 140,10/26/2025,
f000000000000063250,f0105233,50,f7891203063250,2.99,1.82,19053100,BiscoitoRechMorango 140,10/30/2025,
f000000000000063274,f1004232,50,f7891203063274,2.99,1.82,19053100,BiscoitoRechBauniGB 140,10/30/2025,
f000000000000063564,f1004231,50,f7891203063564,2.99,1.82,19053100,BiscoitoRechMousseMorangoGB140,09/25/2025,
f000000000000058591,f0105236,50,f7891203058591,3.99,2.37,19053200,BiscoitoWaferFlorestaNegra 140,7/2/2023,
f000000000000020765,f2905232,50,f7891203020765,4.99,3.08,19053100,BiscoitoCreamCracker 200,08/14/2025,
f000000000000056146,f2905231,50,f7891203056146,8.99,5.94,19053100,BiscoitoCreamCracker 400,10/30/2025,
f000000000000059314,f2105211,50,f7891203059314,9.5,6.56,19052090,BoloLaranja 300,10/30/2025,
f000000000000059321,f72725,50,f7891203059321,9.5,6.56,19052090,BoloAbacaxi 300,10/30/2025,
f000000000000057501,f2107224,50,f7891203057501,1.99,1.28,19023000,MacarraoLamenTradCarne 85,10/30/2025,
f000000000000055200,f72859,50,f7891203055200,3.99,2.58,19052090,BolinhoBebezinhoLaranja 70,10/30/2025,
f000000000000063328,f2612213,50,f7891203063328,3.99,2.58,19052090,BolinhoBebezinhoBauniGotas 70,10/30/2025,
f000000000000063427,f2612212,50,f7891203063427,3.99,2.58,19052090,BolinhoBebezinhoBrigadeiro 70,10/30/2025,
f000000000000058119,f107202311,50,f7891203058119,4.5,2.96,19053100,BiscoitoMaisena 200,10/16/2025,
f000000000000059475,f2612214,50,f7891203059475,3.99,2.58,19052090,BolinhoBebezinhoChocSuico 70,08/21/2025,
f000000000000055262,f2612211,50,f7891203055262,3.99,2.58,19052090,BolinhoBebezinhoChocolate 70,10/30/2025,
f000000000000068613,f17720230,50,f7891203068613,1.99,1.29,19023000,MacarraoLamenCremFrango 85,10/26/2025,
f000000000000059345,f2612216,50,f7891203059345,10.5,7.19,19052090,BoloChocoboy 300,10/30/2025,
f000000000000059352,f2105212,50,f7891203059352,9.5,6.56,19052090,BoloChocolate 300,10/30/2025,
f000000000000057068,f0105234,50,f7891203057068,3.99,2.56,19053200,BiscoitoWaferMorango 140,08/29/2024,
