cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f1001611,f1762540,50,f7891155065142,55.99,37.06,70134900,ASSAD.MX CELEB.LASAN.16538931,06/17/2025,
f1003424,f176257,50,f7891155032700,10.5,6.964166666666666,70134900,CANECA NADIR TARSILA 5921 12X1,06/17/2025,12.0
f1003424 - FD,f1762570,50,f17891155032707,125.5,83.57,70134900,CANECA NADIR TARSILA 5921 12X1,06/17/2025,
f1045500,f176255,50,f7891155002420,1.5,0.9054166666666666,70133700,COPO AMERICANO AG.2010 24X1,06/17/2025,24.0
f1045500 - FD,f1762518,50,f7891155003663,32.99,21.73,70133700,COPO AMERICANO AG.2010 24X1,06/17/2025,
f3022556,f1762564,50,f7891108020884,45.99,30.56,96170010,GFA ALADDIN CONT.1L PRETA 2088,06/17/2025,
f4302593,f1762579,50,f7891000393284,25.5,16.864583333333332,4022110,LEITE PO NINHO INT.ISNT.24X380,06/17/2025,24.0
f4302593 - FD,f176258,50,f17891000393281,607.2,404.75,4022110,LEITE PO NINHO INT.ISNT.24X380,06/17/2025,
f1001805,f3551,50,f7896051020127,1.5,0.812,44219900,PALITO GINA 25X100,06/17/2025,25.0
f1001805 - FD,f1762594,50,f7896051090144,30.5,20.3,44219900,PALITO GINA 25X100,06/17/2025,
f4302401,f2811202361,50,f7891000379585,9.2,5.35375,18069000,ACHOC.NESCAU CILINDRO 200G,06/17/2025,
f4900557,f2987,50,f7896102000382,10.5,6.115,21032010,KETCHUP HEINZ TRADICIONAL 260G,06/17/2025,
f4900559,f7016,50,f7896102584189,11.99,7.74421875,21039011,MAIONESE HEINZ FP.215G,06/17/2025,
