cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f14877,f1610202362,50,f7896001004870,4.99,3.09,68053090,BETTANIN ESPONJA BRILHUS PROTEGE UNHAS ABRASIVA (BT487),10/16/2023,
f20372,f1610202351,50,f7896001020375,8.5,5.65,96039000,BETTANIN ESCOVA CANTOS PLASTICA BRILHUS (BT2037),10/16/2023,
f20389,f1610202398,50,f7896001020382,24.5,16.25,96039000,BETTANIN RODO EVA BRILHUS C/ CABO SIMPLES TAM P (BT2039),10/16/2023,
f20396,f1610202383,50,f7896001020399,26.99,17.99,96039000,BETTANIN RODO EVA BRILHUS C/ CABO SIMPLES TAM M (BT2041),10/16/2023,
f20907,f1610202370,50,f7896001020900,2.99,1.95,68053090,BETTANIN ESPONJA BRILHUS NAO RISCA (BT2090),10/16/2023,
f74625,f8022,50,f7896040704625,6.2,3.99,34025000,CASAKM LIMPADOR CASA & PERFUME 500 ML AGRADABLE (105575),10/16/2023,
f76155,f8028,50,f7896040706155,5.99,3.99,34025000,CASAKM LIMPADOR CASA & PERFUME 500 ML PASSIONE (106152),10/16/2023,
f76247,f8026,50,f7896040706247,6.2,3.99,34025000,CASAKM LIMPADOR CASA & PERFUME 500 ML MISTERO (106244),10/16/2023,
f519,f172815,50,f7896054719226,8.99,5.69,33043000,ACETONA CINCO (LUTEX AP ECO) 100 ML (3244),11/21/2023,
f801,f5145,50,f7896902209114,5.5,2.99,33043000,ACETONA FARMAX 100ML,11/21/2023,
f17462,f2006,50,f7891176117462,2.99,1.99,34011190,SABONETE FRANCIS SUAVE 85 GR ROSA - ORQUIDEA (402895),11/21/2023,
f17486,f7249,50,f7891176117486,2.99,1.99,34011190,SABONETE FRANCIS SUAVE 85 GR AZUL - GARDENIA (402897),11/21/2023,
f17493,f3010212,50,f7891176117493,2.99,1.99,34011190,SABONETE FRANCIS SUAVE 85 GR LARANJA - FLOR DE LA (402898),11/21/2023,
f20014,f388,50,f7896227620014,3.99,1.99,56012190,COTTONBABY HASTES 75 UNID (620011),11/21/2023,
f94034,f2002,50,f7896090400034,5.5,3.55,34011190,SABONETE FRANCIS CLASSICO 90 GR LARANJA - VERBENA (402025),11/21/2023,
