cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f000000000000414602,f170,50,f7891000460207,3.5,1.9913333333,18069000,PRESTIGIO Chocolate 30x33g BR,04/14/2025,
f000000000000414602 - FD,f107202312,50,f7891000460214,179.5,119.479999998,18069000,PRESTIGIO Chocolate 30x33g BR,04/14/2025,
f000000000000415013,f284,50,f7891000502303,10.99,7.0133333333,35079049,MAGGI Amaciante Car c/ Tempero 30x120gBR,05/12/2025,
f000000000000415014,f182108,50,f7891000502105,8.99,5.9233333333,21039021,MAGGI FONDOR Tempero 30x120g BR,02/05/2025,
f000000000000415446,f605,50,f7891000544600,6.5,4.319,21041011,MAGGI Sopa Gl&Fidelini 12(10x60g BR,06/02/2025,
f000000000000415446 - FD,f107202313,50,f7891000544617,62.99,43.19,21041011,MAGGI Sopa Gl&Fidelini 12(10x60g BR,06/02/2025,
f000000000011320331,f7748,50,f78912366,1.99,1.2343333333,17049010,BATON Bastao Choc Branco 32(30x16g)XW,05/12/2025,
f000000000011320331 - FD,f302,50,f7891008331028,55.99,37.029999999,17049010,BATON Bastao Choc Branco 32(30x16g)XW,05/12/2025,
f000000000011320367,f72812,50,f78912359,1.99,1.23,18063210,BATON Bastao Choc Leite 32(30x16g)XW,05/12/2025,
f000000000012045051,f93,50,f7891000051436,4.5,2.9125,19053100,PASSATEMPO Biscoito Leite 54x150g BR,06/02/2025,
f000000000012187083,f1866,50,f7891000090732,6.99,4.562361111111112,22029900,NESTON Bebida Garrafa Plas 4(6x280ml) BR,05/12/2025,
f000000000012228413,f4323,50,f7891000098950,11.5,7.9766666667,11042900,NESTON 3 Cereais Sachet 12x210g BR,06/23/2025,
f000000000012242943,f4962,50,f7891000101926,6.99,4.6716666667,22029900,NESCAU Bebida Garrafa Plas 4(6x270ml) BR,06/02/2025,
f000000000012272482,f105116,50,f7891000107836,6.99,4.4745,18063210,SUFLAIR Chocolate Leite 12(20x50g) BR,05/26/2025,
f000000000012272482 - FD,f107202314,50,f7891000107843,134.5,89.49,18063210,SUFLAIR Chocolate Leite 12(20x50g) BR,05/26/2025,
f000000000012290967,f085706,50,f7891000110829,7.99,4.7275,22029900,NESCAFE BebidaGarrafa Plas 4(6x270ml) BR,04/14/2025,
f000000000012325231,f951,50,f7891000241356,4.5,2.856,19053100,PASSATEMPO Bisc Recheado Choc 70x130g BR,05/12/2025,
f000000000012342557,f2917,50,f7891000248768,5.5,3.1341666667,19053200,KIT KAT 4Fngr Leite 4(24x41.5g) BR,05/26/2025,
f000000000012342557 - FD,f107202315,50,f7891000248775,225.99,150.4400000016,19053200,KIT KAT 4Fngr Leite 4(24x41.5g) BR,05/26/2025,
f000000000012439820,f2706222,50,f7891000305317,3.99,2.527,19053100,BONO Bisc Recheado Limao 60x126g BR,7/10/2023,
f000000000012442206,f1385,50,f7891000307083,9.2,6.0433333333,21011110,NESCAFE TRADICAO Forte Sachet 24x40g BR,04/07/2025,
f000000000012442213,f0505231,50,f7891000307120,9.2,6.2433333333,21011110,NESCAFEORGNL ExtraForte Sachet 24x40g BR,05/12/2025,
f000000000012448706,f2202221,50,f7891000312919,2.5,1.625,18063210,CLASSIC Chocolate Leite 12(22x25g) BR,7/10/2023,
f000000000012448706 - FD,f107202316,50,f7891000312926,53.99,35.75,18063210,CLASSIC Chocolate Leite 12(22x25g) BR,7/10/2023,
f000000000012453854,f1506227,50,f7891000319505,9.2,6.0133333333,19011030,MUCILON Multicereais Sachet 12x180g BR,06/30/2025,
f000000000012453855,f0808221,50,f7891000319581,9.2,6.0333333333,19011030,MUCILON Milho Sachet 12x180g BR,10/28/2024,
f000000000012453877,f107202317,50,f7891000319628,9.2,6.0116666667,19011030,MUCILON Arroz Sachet 12x180g BR,06/30/2025,
f000000000012454930,f0702223,50,f7891000321652,2.99,1.9359090909,17049010,GALAK Chocolate Branco 12(22x25g) BR,09/22/2024,
f000000000012454930 - FD,f107202318,50,f7891000321669,63.99,42.5899999998,17049010,GALAK Chocolate Branco 12(22x25g) BR,09/22/2024,
f000000000012492199,f0609221,50,f7891008121674,7.99,5.3558333333,17049010,TALENTO Tab Choc Branco Cer 8(12x85g) XW,12/09/2024,
f000000000012492199 - FD,f1007235,50,f7891008121681,96.5,64.2699999996,17049010,TALENTO Tab Choc Branco Cer 8(12x85g) XW,12/09/2024,
f000000000012492210,f2507222,50,f7891008121728,7.99,5.0233333333,18063210,TALENTO Tab Leite Avelas 8(12x85g) XW,08/19/2024,
f000000000012492216,f1007232,50,f7891008121872,131.99,4.1883333333,18063110,TALENTO Tab Rech Morango 8(12x85g) XW,7/10/2023,
