cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f3024259 16381,f429,50,f7891035210006,8.99,5.95,34025000,VEJA MULTIUSO ORIGINAL 500ml C/3 50% DESC 3 UN PROMO Un,8/23/2023,3.0
f3024259 16381 - FD,f23820232,50,f17891035800341,208.5,138.86,34025000,VEJA MULTIUSO ORIGINAL 500ml C/3 50% DESC 3 UN PROMO Cx C/8,8/23/2023,
f3072559 17433,f23820233,50,f7891035325595,19.5,12.943333333333332,33074900,BOM AR AERO LAVANDA 360ml PROMO Un,8/23/2023,
f80684091 20434,f03156,50,f7500435154420,105.99,70.5,82121020,AP PRESTO2 ULTRAGRIP FIXO C/12X2Un + 2 PRESTO3 CHAMPIONS Di C/12,8/23/2023,
f80684091 20434 - FD,f23820234,50,f7500435186698,105.99,70.5,82121020,AP PRESTO2 ULTRAGRIP FIXO C/12X2Un + 2 PRESTO3 CHAMPIONS Di C/12,8/23/2023,
f7130003214 22839,f*21,50,f7891095911301,14.2,9.44,7134090,LENTILHA TIPO 2 400gr Unidade,05/22/2026,
f7130003275 23486,f*23,50,f7891095911899,7.5,4.962,20081100,AMENDOIM DESCASCADO SALGADO 110gr Cx C/15,05/22/2026,
f7130003275 23486 - FD,f2252688,50,f17891095911896,111.99,74.42999999999999,20081100,AMENDOIM DESCASCADO SALGADO 110gr Cx C/15,05/22/2026,
f7130003267 24068,f*22,50,f7891095911813,9.99,6.5041666667,20081100,AMENDOIM CROCANTE TRADICIONAL 120gr Cx C/12,05/22/2026,
f7130003267 24068 - FD,f2252611,50,f27891095911817,117.2,78.05000000039999,20081100,AMENDOIM CROCANTE TRADICIONAL 120gr Cx C/12,05/22/2026,
f7130000220 14513,f2899,50,f7891095002207,6.1,4.09,20081900,POPCORN MICRO COM SAL 100gr Unidade,05/26/2026,
f7130000072 14514,f3743,50,f7891095100729,6.1,4.09,20081900,POPCORN MICRO BACON 100gr Unidade,05/26/2026,
f7130000845 14518,f8019,50,f7891095008452,7.75,4.09,20081900,POPCORN MICRO MANTEIGA CINEMA 100gr Unidade,05/26/2026,
f7130003255 23214,f2652669,50,f7891095911677,8.5,5.66,19019090,FAROFA CASEIRISSIMA C/ PEDACOS DE CEBOLA 200gr Unidade,05/26/2026,
f7130003254 23215,f265266,50,f7891095911660,8.5,5.66,19019090,FAROFA CASEIRISSIMA C/ PEDACOS DE BANANA 200gr Unidade,05/26/2026,
