cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f103399,f1008,50.0,f7908350000189,11.99,7.59,2071412,4807 - CARNE CONG.FRANGO C/OSSO COXA E SOBREC. ENV.CX.18 KG,09/24/2025,
f766717,f1006,60.0,f7908350003968,20.99,11.59,2071300,2824 - CARNE RESF. FRANGO S/O FILE DE PEITO S/P PCT.CX 18KG,03/13/2026,
f103569,f1005,50.0,f7908350000653,5.99,3.99,2071419,9400 - CARNE CONG. FRANGO C/OSSO SAMBIQUIRA PTC. CX 18 KG,08/22/2025,
f766693,f2539,50.0,f7908350003890,18.5,10.39,2071300,6425 - CARNE RESF. FRANGO C/OSSO COXINHA DA ASA PCT.CX 18KG,10/07/2025,
f766669,f1008,50.0,f7908350003920,14.2,7.59,2071300,4870 - CARNE RESF. FRANGO C/OSSO COXA E SOBRECOXA PCT.CX 18K,12/09/2025,
f103609,f1031,50.0,f7908350000325,7.5,4.99,2071431,8203 - MIUDOS CONG. DE FRANGO PCT FIGADO CX 18KG,05/29/2026,
f405018,f1029,50.0,f7908350002664,9.99,6.49,2071434,8702 - CARNE CONG. FRANGO C/OSSO PE A PCT. CX 15 KG,07/01/2025,
f839203,f2539,50.0,f7908350003074,18.5,10.3,2071413,6014 - CARNE CONG. FRANGO C/OSSO ASA ENV. CX 15 KG,11/07/2025,
f861965,f1006,60.0,f7908350000561,26.5,15.89,2071422,2828 - CARNE CONG.FRANGO S/OSSO FILE PEITO S/PELE ENV.CX20KG,11/07/2025,
f963303,f1029,50.0,f7908350005658,9.99,6.99,2071434,8606 - CARNE CONGELADA FRANGO COM OSSO PE VARIAVEL PACOTE CX 15KG IPO,01/05/2026,
f1126915,f1005,50.0,f7908350003081,8.99,4.99,2071419,9502 - SAMBIQUIRA CONGELADA IN NAT. PCT CX 20KG,10/26/2025,
f861932,f1009,50.0,f7908350000271,15.99,10.6,2071413,6430 - CARNE CONG. FRANGO C/OSSO COXINHA DA ASA PCT. CX20KG,01/09/2026,
f1133176,f1008,50.0,f7908350000189,9.99,6.49,2071412,4914 - CARNE CON DE FRANGO COX E SOBR C/O ENV.CX 20KG,01/16/2026,
f1032614,f0925,50.0,f7896079298027,17.9,10.5,2071220,"419 - FRANGO INT S/MIUDOS CONG CX18,4KG DFAVES",12/03/2025,
f766685,f5900,50.0,f7908350003906,10.2,6.89,2071300,4018 - CARNE RESF. FRANGO C/OSSO COXA PCT. CX 18KG,12/12/2025,
f837405,f00006,50.0,f7896576005289,19.5,11.80892255890909,19012090,312 - PAO DE QUEIJO PAOZIM MINEIRO 25GR 12X900GR,12/30/2025,1.1
f1100257,f1376,50.0,f7898934113179,13.5,7.5075075075075075,19059090,"474 - PAO DE ALHO BAGUETE TRAD RES PCT300GR CX3,6KG BELLO",12/30/2025,3.33
f1133192,f1005,50.0,f7908350000653,6.2,3.99,2071419,9403 - CARNE CON. DE FRANGO C/OSSO SAMBIQUIRA PCT.CX 20 KG,02/04/2026,
f893806,f1006,60.0,f7908350000561,26.5,14.3,2071422,2829 - CARNE CONG. FRANGO S/O FILE DE PEITO S/P ENV.CX20KG,01/09/2026,
f1126907,f2539,50.0,f7908350003074,14.99,9.99,2071413,6021 - CARNE CON DE FRANGO ASA C/O ENV CX 20 KG,02/04/2026,
f1143511,f1006,60.0,f7908350100674,20.99,13.5,2071422,2850 - CARNE CON FRANGO S/O FILE DE PEITO S/P.ENV CX20KG,04/28/2026,
f1143147,f1008,50.0,f7908350102975,9.2,6.1,2071300,4928 - CARNE RESF FRANGO C/OSSO COXA E SOBRECOXA PCT.CX.18KG,05/29/2026,
f1143577,f1008,50.0,f7908350101190,11.99,7.2,2071412,4931 - CARNE CON FRANGO COX E SOBR C/O ENV.CX 20KG,05/05/2026,
f103633,f1031,50.0,f7908350000349,11.5,7.6,2071431,8200 - MIUDOS CONG. DE FRANGO BDJ FIGADO CX 10KG,04/08/2026,
f1142718,f1006,60.0,f7908350100674,22.5,13.5,2071422,2848 - CARNE CON. FRANGO S/O FILE DE PEITO S/P ENV.CX.20KG,05/05/2026,
f1143058,f1006,60.0,f7908350102913,22.5,12.19,2071300,2849 - CARNE RES. FRANGO S/O FILE DE PEITO S/P PCT CX18.KG,05/29/2026,
f1143188,f1009,50.0,f7908350100872,15.99,9.6,2071413,6454 - CARNE CON. FRANGO C/O COXINHA DA ASA PCT. CX.20KG,04/28/2026,
f766725,f7479,50.0,f7908350003883,23.5,15.6,2071300,6838 - CARNE RESF. FRANGO C/OSSO MEIO DA ASA PCT. CX 18KG,05/21/2026,
f1143244,f1029,50.0,f7908350101138,9.99,6.99,2071434,8616 - CARNE CONGELADA FRANGO COM OSSO PE VARIAVEL PACOTE CX 15KG IPO,05/29/2026,
f1156683,f1032,50.0,f7908350101084,17.99,11.99,2071432,8430 - MIUDOS CON. DE FRANGO MOELA PCT CX.20KG,05/29/2026,
