cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f80,f883,50.0,f7891515989408,2.5,1.294972993793827,16023230,HAMB 56G CX 36UN / 2.016KG P CX 36UN,7/6/2023,
f81,f7254,50.0,f7891515485528,13.99,9.321111111144443,16023230,MINI CHICKEN FRANGO 275G CX15UN P/A UN 275G,7/6/2023,
f780,f2465,50.0,f7891515879716,3.5,1.9813194444444444,16023230,HAMB 90G CX 36UN / 3.240KG P CX 36UN,7/6/2023,
f804,f1181,50.0,f7893000383005,11.2,7.355,15171000,MARGARINA S/SAL QUALY 500G CX 12UN P CX 12UN,7/6/2023,
f95398,f0925,50.0,f7896648606581,15.2,10.1,2071220,"FGO FRANGO CARCACA CG 1.8KG CX14,4KG P CX 14,4KG",7/6/2023,
f96159,f2536,40.0,f7891515975562,24.5,16.15,16010000,LING SUINA CG PCT 5KG CX20KG P/A PCT 5KG,7/6/2023,
f98266,f1006,50.0,f7898936152381,14.99,9.9897222222,2071400,FGO FILE PEITO S/P CG IND CX18KG P CX 18KG,7/6/2023,
f98269,f1008,50.0,f7898506320912,8.99,5.9286111111,2071400,FGO COXA/SOB CG IND CX18KG P CX 18KG,7/6/2023,
f99067,f2360,50.0,f7891515474126,2.99,1.7029580247024692,16023230,STEAK EMPANADO 100G CX45UN P CX 45UN,7/6/2023,
f99228,f271219,50.0,f7891515434311,10.6,6.3125,16010000,MORT BOLOGNA OURO FAT 200G 4UN CX20UNPA PCT 4UN,7/6/2023,
f99605,f1296,50.0,f7891515485535,14.99,9.321111111144443,16023230,MINI CHICKEN FR C/QJO 275G CX15UN P/A UN 275G,7/6/2023,
f99721,f2731,50.0,f7891515490218,12.5,8.1404,16010000,SALAME ITALIANO FAT 100G 5UN CX30UN P/A PCT 5UN,7/6/2023,
f99909,f5187,50.0,f7891515496357,14.5,9.2819,19022000,LASANHA BOLONHESA 600G CX6UN P/A UN 600G,7/6/2023,
f99910,f72346,50.0,f7891515496234,13.99,9.2819,19022000,LASANHA FGO C/BACON 600G CX6UN P/A UN 600G,7/6/2023,
f99911,f2707214,50.0,f7891515490430,14.5,9.2819,19022000,LASANHA CALABRESA 600G CX6UN P/A UN 600G,7/6/2023,
f102224,f1008221,50.0,f7896295382616,15.99,10.55,16010000,LING FRANGO FINA PCT 800G CX15UN P/A PCT 800G,7/6/2023,
f94906,f3972,50.0,f7893000043220,9.99,5.844444444477778,16024900,SANDUICHE X-BACON 145G 3UN CX18 P/A PCT 3UN,7/6/2023,
f94908,f2311,50.0,f7893000043213,9.99,5.844444444477778,16025000,SANDUICHE X-PICANHA 145G 3UN CX18 P/A PCT 3UN,7/6/2023,
f98562,f2345,50.0,f7893000004757,5.99,3.1646400000000003,16010000,PATE PRESUNTO 100G 5UN CX25UN P/A PCT 5UN,7/6/2023,
f99205,f2313,50.0,f7891515475680,16.2,10.7,19022000,LASANHA 4 QUEIJOS 600G CX6UN P/A UN 600G,7/6/2023,
f103466,f1108212,50.0,f7891515556327,9.99,5.844444444477778,16025000,SANDUICHE X-CHEDDAR 145G 3UN CX18 P/A PCT 3UN,7/6/2023,
f103706,f1108213,50.0,f7893000052888,24.5,16.16,19022000,ESCONDIDINHO CARNE 600G CX6UN P/A UN 600G,7/6/2023,
f97866,f0002,70.0,f7898937578098,55.7,27.8999579655,4061010,QJO MUSSARELA PC+-4KG CX+-24KG A PC +-4KG,7/7/2023,
f1144,f0009,70.0,f7891515356736,43.99,20.6954166667,16010000,MORT BOLOGNA OURO PC 4KG CX 8KG P CX 8KG,7/7/2023,
f8511,f1027,36.0,f7898302290310,49.99,26.8998835856,2013000,BOV MIOLO ALCATRA RF CX+-23KG CX +-23KG,7/12/2023,
f98196,f2538,36.0,f7898544562046,35.75,17.2000717103,2013000,BOV MUSCULO TRAS RF CX+-27KG CX +-27KG,7/12/2023,
f101796,f2619,50.0,f7893000025653,5.99,3.3276,16010000,PATE P.PERU 100G 5UN CX25UN P/A PCT 5UN,7/12/2023,
f104627,f09032310,50.0,f7898239600503,3.5,2.02,16010000,MORT S/G FAT 150G 5UN CX70UN PCT 5UN,7/12/2023,
f104628,f2405231,50.0,f7898239600664,3.5,2.05,16010000,MORT C/G FAT 150G 5UN CX70UN A PCT 5UN,7/12/2023,
f106404,f7614,36.0,f7896084209285,39.99,28.724989996,2013000,BOV CONTRA FILE S/NOIX RF CX+-23KG CX +-23KG,7/12/2023,
f106687,f1033,60.0,f7898721880437,40.2,20.5535,2101200,BACON PERNIL PC+-3KG CX+-25KG A PC +-3KG,7/12/2023,
f61,f0906212,50.0,f7891515775636,8.9,5.2318,16010000,MORT BOLOGNA TRAD FAT 200G 3UN CX21UNP/A PCT 3UN,7/12/2023,
f70,f1028,50.0,f7891515220983,17.5,10.25,16010000,SALSICHA CG PCT5KG CX20KG P/A PCT 5KG,7/12/2023,
f89,f72909,50.0,f07891515474133,2.99,1.964822222188889,16023230,STEAK RECHEADO QJO/PRE 100G CX30UN P CX 30UN,7/12/2023,
