cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f12382903,f7212,50,f7891000261460,5.99,3.76,4032000,CHAMYTO IOGURTE MOR+CER COLORIDO 130 G (CX/24),7/20/2023,
f12342863,f117,50,f7891000027967,2.2,1.415,4039000,CHAMYTO LEITE FERMENTADO BIG 720 G(CX/21),7/20/2023,
f12342863 - FD,f29620232,50,f7891000027974,50.99,33.96,4039000,CHAMYTO LEITE FERMENTADO BIG 720 G(CX/21),7/20/2023,
f12277332,f092818,50,f78936195,6.99,4.55,4039000,CHANDELLE CHOCOLATE 180 G (CX/24),7/20/2023,
f12342563,f2800,50,f7891000072998,3.99,2.56,4032000,NESTLE 170 G IOG NATURAL CENOURA E LARANJA (CX/28),7/20/2023,
f12342556,f2798,50,f7891000072974,3.99,2.56,4032000,NESTLE 170 G IOG NATURAL MEL (CX/28),7/20/2023,
f12334185,f1139,50,f7891000244265,3.5,2.29,4032000,NESTLE IOGURTE MORANGO 170 G (CX/24),7/20/2023,
f12381968,f7123,50,f7891000261026,10.99,7.19,4032000,NINHO IOG POLPA 3 SABORES 540 G (CX/06),7/20/2023,
f181,f1612221,50,f0606529347475,3.99,2.46,4039000,REBEKA PUDIM DE LEITE CONDENSADO 120 G,7/20/2023,
f312,f1506232,50,f7898970805007,3.99,2.58,19019090,SAGU TITO SABOR VINHO 140 G,7/20/2023,
f12354550,f996622,50,f7891000252819,3.99,2.64,4032000,CHAMYTO GO 100 G IOGURTE LIQ MORANGO,8/2/2023,
f12440873,f23032311,50,f7891000305775,14.99,9.86,4032000,MOLICO 850 G MORANGO ZERO (CX/12),8/2/2023,
f12342555,f2799,50,f7891000072950,3.99,2.56,4032000,NESTLE 170 G IOG NATURAL INTEGRAL,8/2/2023,
f12406407,f6346,50,f78936126,3.5,2.22,4032000,NESTLE GREGO 90 G TORTA DE LIMAO,8/2/2023,
f12406318,f7681,50,f78936171,3.5,2.22,4032000,NESTLE GREGO 90 G TRADICIONAL (CX/24),8/2/2023,
f12343321,f5566,50,f7891000103852,4.5,2.92,04032000,NINHO 170 G MACA/BANANA IOG LIQ (CX/24),8/2/2023,
