cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f10600049,f1577,50,f7894321631011,6.99,4.55,11041900,"022 POLENTINA QUAKER..................01X500      CXA:       0,200",06/17/2025,
f10800410,f3951,50,f77940131,1.5,0.86,19059090,"000 TURRON MANY.....................01X 25GR      CXA:       0,250",05/22/2026,
f11000035,f00013,50,f7898331012655,9.99,6.37,21069090,"001 CHANTILLY GRAN FINALE TP. ........01X200      CXA:       0,333",03/18/2026,
f11000076,f1907221,50,f7898331012938,3.99,2.4,21069090,"001 MELHORADOR MAIS MACIO FLEISCHMANN.01X 10      CXA:       0,166",05/22/2026,
f11700223,f4635,50,f7891055112106,11.5,7.22,96039000,"001 ESC P LAVAR 1121............... 01X 01UN      CXA:       0,250",05/27/2025,
f12600020,f1299,50,f7896004400297,8.99,5.61,20098990,"001 LEITE COCO MAIS COCO VD.......... 01X200      CXA:       0,250",11/18/2025,
f12700106,f676,50,f7898192030010,10.5,6.24,22021000,"099 SUFRESH ABACAXI.................01X 01LT %AGR:  53,7900 B.ST: *******72,15 V.ST: ********7,36      CXA:       1,000",01/14/2026,
f17210001,f5802,50,f7898322980031,5.99,3.99,4062000,"001 QUEIJO PARMESAO RALADO..........01X 50GR      CXA:       2,000",04/22/2025,
f11000054,f199202362,50,f7898409951664,11.99,7.91,21021090,"001 FERM BIOL L125.P100 FLEISC......01X125GR      CXA:       0,250",02/01/2026,
f11700225,f309,50,f7891055111604,8.05,4.7,96039000,"001 ESC P.LAVAR 16....................01X 01      CXA:       0,083",05/22/2026,
f12000013,f3011212,50,f7896067200162,10.5,5.67,85061019,"001 PILHA ALK POWER AA (LR6XAB 2B)..01X 02UN      CXA:       0,093",02/10/2026,
f12700128,f2327,50,f7898192030577,10.5,6.38,22021000,"099 SUFRESH LARANJA.................01X 01LT %AGR:  53,7900 B.ST: *******75,66 V.ST: ********7,71      CXA:       1,000",02/01/2026,
f12700157,f292479,50,f7898192030584,10.5,6.716458333333334,22021000,"099 SUFRESH MANGA...................01X 01LT %AGR:  53,7900 B.ST: *******72,15 V.ST: ********7,36      CXA:       1,000",12/03/2025,
f11000036,f2012221,50,f7898331012150,37.99,25.02,21069090,"001 CHANTILLY GRAN FINALE TP 01LT.....01X 01      CXA:       0,250",01/14/2026,
f12600006,f4193,50,f7896004401744,11.99,6.96,20098921,"099 AGUA DE COCO SOCOCO ............01X330ML %AGR:  59,6400 B.ST: ******104,59 V.ST: *******12,53      CXA:       1,000",09/02/2025,
f12600005,f4159,50,f7896004400358,7.5,4.26,20098921,"099 AGUA DE COCO SOCOCO ............01X200ML %AGR:  59,6400 B.ST: ******127,58 V.ST: *******15,29      CXA:       1,000",08/19/2025,
f11000052,f971,50,f7898409957970,2.5,1.51,21021090,"001 FERM BIOL ENVEL FLEISC..........01X 10GR      CXA:       0,250",03/18/2026,
