cProd,ours_code,margin,cEAN,selling_price,cost_price,ncm,nfe_name,date_of_last_update,sub_itens_quantity
f01986004,f1273,50.0,f7896102503708,18.2,12.051111111111112,21032010.0,"099 KETCHUP HEINZ...(3708)............01X397 %AGR:  72,0100 BASE ST: *********34,62 VALOR ST: **********4,16",7/7/2023,
f00279064,f2320,50.0,f7891098000170,5.5,2.93,12119090.0,022 7104 CHA LEAO FUZE HORTELA(0170)1X10 SAQ LEAO,09/25/2024,
f00466592,f5412,50.0,f7896029022245,3.69,2.3325,23099010.0,"099 PEDIGR SACHE RP CARNE L12P10...1X12X100G %AGR:  58,6200 BASE ST: *********21,90 VALOR ST: **********2,50",09/25/2024,
f00466592 - FD,f7720230,50.0,f7896029002025,37.99,25.2499999992,23099010.0,"099 PEDIGR SACHE RP CARNE L12P10...1X12X100G %AGR:  58,6200 BASE ST: *********21,90 VALOR ST: **********2,50",7/7/2023,
f00633252,f72230,50.0,f7896423420180,4.5,2.99,18063110.0,"099 SNICKERS ORIGINAL 20X45G                 %AGR:  83,5200 BASE ST: *********46,00 VALOR ST: **********5,73",09/25/2024,
f00633252 - FD,f19720233,50.0,f7896423420159,89.99,59.8,18063110.0,"099 SNICKERS ORIGINAL 20X45G                 %AGR:  83,5200 BASE ST: *********46,00 VALOR ST: **********5,73",09/25/2024,
f00632122,f72248,50.0,f7896423470994,4.99,3.3216666666,19053100.0,000 TWIX ORIGINAL 2 BARRAS 18X40G            MARS,08/14/2024,
],,,,,,,,,
f00632122 - FD,f19720234,50.0,f7896423471007,89.99,59.7899999988,19053100.0,000 TWIX ORIGINAL 2 BARRAS 18X40G            MARS,08/14/2024,
f01786134,f317,50.0,f7898629570294,7.5,4.9,17049090.0,001 MARSHMALLOW BARBECUE..............1X80GR HARIBO,7/19/2023,
f01786224,f19720235,50.0,f7898629570423,14.99,9.93,17049090.0,001 MARSHMALLOW CABLES PINK.........01X250GR HARIBO,7/19/2023,
f01786354,f19720236,50.0,f7898629570409,15.2,10.02,17049090.0,001 MARSHMALLOW CABLES BLUE.........01X250GR HARIBO,7/19/2023,
f01787384,f19720237,50.0,f7898629571031,7.2,4.68,17049020.0,001 BALA GELATINA AVIOES.............01X90GR HARIBO,7/19/2023,
f01787864,f19720238,50.0,f7898629571376,7.5,4.9,17049020.0,001 BALA GELATINA MELANCIA.............1X80G HARIBO,7/19/2023,
f01788484,f19720239,50.0,f7898629572021,8.2,5.38,17049020.0,001 BALA GELATINA FRUTAS MIX...........1X80G HARIBO,7/19/2023,
f17860224,f197202310,50.0,f7898629571321,7.5,5.0,17049090.0,001 MARSHMALLOW BARBIE MORANGO.........1X60G HARIBO,7/19/2023,
f17860334,f197202311,50.0,f7898629571345,15.2,10.03,17049090.0,001 MARSHMALLOW BARBIE MORANGO........1X200G HARIBO,7/19/2023,
